gene	length
CARHR032230	3838
CARHR078480	291
CARHR091800	471
CARHR227480	3071
CARHR023670	1479
CARHR198330	972
CARHR063500	327
CARHR027700	2014
CARHR183940	678
CARHR190100	2718
CARHR220680	846
CARHR158520	1224
CARHR078730	3154
CARHR067080	324
CARHR169900	1622
CARHR257280	1503
CARHR253900	677
CARHR017980	870
CARHR258020	606
CARHR079000	1983
CARHR233060	4320
CARHR146800	342
CARHR079280	1676
CARHR068300	611
CARHR106770	207
CARHR155330	993
CARHR116250	2796
CARHR155940	2418
CARHR103720	3425
CARHR194900	1161
CARHR098780	372
CARHR222490	423
CARHR158150	585
CARHR144400	225
CARHR108600	1690
CARHR262250	1248
CARHR278850	2088
CARHR137470	881
CARHR073870	630
CARHR025630	1662
CARHR093400	1539
CARHR024940	1230
CARHR098250	1269
CARHR130840	480
CARHR076990	759
CARHR007610	357
CARHR072470	1056
CARHR262780	695
CARHR224710	1602
CARHR086960	693
CARHR032510	1914
CARHR177510	912
CARHR251500	2613
CARHR285700	792
CARHR066060	1723
CARHR281410	1936
CARHR132560	1233
CARHR162030	1612
CARHR145750	1029
CARHR102440	546
CARHR274710	1887
CARHR223560	1947
CARHR259080	4229
CARHR109550	249
CARHR101760	528
CARHR025090	1278
CARHR196500	315
CARHR261780	1779
CARHR210470	2913
CARHR103890	888
CARHR273940	3007
CARHR104040	613
CARHR128490	1988
CARHR124170	789
CARHR278140	3851
CARHR265940	366
CARHR077640	660
CARHR261250	279
CARHR101490	222
CARHR195020	279
CARHR037310	1155
CARHR033670	1455
CARHR074590	2264
CARHR264090	2700
CARHR269060	2487
CARHR226420	297
CARHR141120	1053
CARHR030320	1164
CARHR075640	1256
CARHR020910	327
CARHR268330	504
CARHR225190	1974
CARHR087360	399
CARHR284070	2346
CARHR135720	774
CARHR214350	4152
CARHR241100	2175
CARHR083870	1506
CARHR070030	978
CARHR006250	357
CARHR131030	273
CARHR275040	1380
CARHR222210	1119
CARHR211570	1330
CARHR199850	4626
CARHR005500	1069
CARHR228470	447
CARHR001610	1103
CARHR258840	3012
CARHR009420	1812
CARHR172030	2403
CARHR260120	342
CARHR050610	1185
CARHR146070	198
CARHR083290	1957
CARHR276660	501
CARHR105180	195
CARHR093280	988
CARHR272710	870
CARHR070690	2115
CARHR071340	1153
CARHR138510	2989
CARHR034150	423
CARHR018500	987
CARHR230860	993
CARHR076690	1269
CARHR137860	1662
CARHR035200	1386
CARHR015150	1779
CARHR004670	3610
CARHR009280	3189
CARHR070960	615
CARHR287030	1335
CARHR000560	3083
CARHR130070	2387
CARHR008770	986
CARHR175260	2826
CARHR174130	876
CARHR277530	2589
CARHR273440	860
CARHR146130	570
CARHR133180	3218
CARHR085980	1509
CARHR008480	372
CARHR204840	429
CARHR270620	901
CARHR129450	294
CARHR088960	2544
CARHR170300	3265
CARHR271970	3792
CARHR110630	3096
CARHR089380	3581
CARHR205460	847
CARHR097770	852
CARHR273190	609
CARHR286340	462
CARHR209740	315
CARHR082450	3523
CARHR218110	3763
CARHR204590	1008
CARHR072860	1846
CARHR076520	1326
CARHR129980	658
CARHR155600	1368
CARHR127460	1539
CARHR231800	3279
CARHR123370	2297
CARHR131850	2393
CARHR270080	1245
CARHR159920	3433
CARHR068040	3425
CARHR088380	675
CARHR082980	2795
CARHR012440	672
CARHR043360	2436
CARHR283830	2466
CARHR160930	1587
CARHR284820	1623
CARHR007930	963
CARHR177650	420
CARHR080580	462
CARHR204330	2049
CARHR045910	348
CARHR178930	1092
CARHR038510	711
CARHR200650	1000
CARHR042880	405
CARHR248300	3152
CARHR090200	1526
CARHR044060	201
CARHR081180	2419
CARHR237250	390
CARHR119870	429
CARHR275900	1760
CARHR122930	483
CARHR096910	2941
CARHR202650	1197
CARHR120110	3200
CARHR041740	2029
CARHR232570	1293
CARHR207020	799
CARHR002140	294
CARHR049390	1650
CARHR040290	3006
CARHR042660	393
CARHR065020	506
CARHR036160	804
CARHR064770	819
CARHR208900	2639
CARHR120300	1080
CARHR154260	1391
CARHR010330	246
CARHR033530	225
CARHR060710	4054
CARHR094450	183
CARHR162390	3224
CARHR166830	234
CARHR285060	237
CARHR203300	1326
CARHR195500	3929
CARHR028060	2225
CARHR065790	1239
CARHR223600	1290
CARHR282870	234
CARHR212100	2616
CARHR193830	1928
CARHR069070	1581
CARHR189320	261
CARHR229460	549
CARHR217550	1872
CARHR280580	393
CARHR207680	1122
CARHR153120	1176
CARHR237920	2332
CARHR219480	378
CARHR173020	1482
CARHR206370	1767
CARHR047740	1020
CARHR152830	354
CARHR176210	1131
CARHR266140	474
CARHR239560	1398
CARHR063740	2350
CARHR118830	186
CARHR043240	2223
CARHR126510	597
CARHR092110	1377
CARHR290290	1353
CARHR283580	786
CARHR206080	1855
CARHR158720	294
CARHR029920	1529
CARHR185830	4238
CARHR157710	2663
CARHR127250	890
CARHR063290	237
CARHR014360	1170
CARHR005260	2919
CARHR017940	399
CARHR163510	2148
CARHR167870	186
CARHR218990	1844
CARHR230320	1917
CARHR283050	723
CARHR158890	405
CARHR215950	3628
CARHR052420	1026
CARHR172770	327
CARHR257910	1901
CARHR191990	1620
CARHR178110	414
CARHR144640	393
CARHR175740	1236
CARHR214390	1203
CARHR276340	1665
CARHR190020	1828
CARHR242860	1225
CARHR068670	1139
CARHR168690	1143
CARHR054860	465
CARHR046030	1086
CARHR093240	1948
CARHR049020	2139
CARHR042590	1128
CARHR143140	591
CARHR205850	1752
CARHR201530	691
CARHR053480	2084
CARHR048370	1134
CARHR155900	1020
CARHR111220	1930
CARHR160090	666
CARHR183290	987
CARHR234040	417
CARHR012400	2094
CARHR096140	1408
CARHR151710	1935
CARHR168520	1262
CARHR180920	961
CARHR231490	1052
CARHR120940	294
CARHR189860	2086
CARHR067530	901
CARHR236640	879
CARHR066660	1041
CARHR186510	917
CARHR126470	234
CARHR294510	2700
CARHR078800	1749
CARHR183740	1218
CARHR293720	231
CARHR054280	222
CARHR058700	1265
CARHR049680	171
CARHR215040	486
CARHR165110	2220
CARHR231140	234
CARHR251070	1989
CARHR280800	1744
CARHR210670	1318
CARHR294220	3475
CARHR019200	1617
CARHR104280	432
CARHR054130	159
CARHR254750	1021
CARHR093930	588
CARHR110570	1579
CARHR216630	216
CARHR049970	1886
CARHR196070	2075
CARHR149930	222
CARHR013750	567
CARHR245840	1799
CARHR107880	2614
CARHR249170	1476
CARHR097230	2948
CARHR045070	1902
CARHR269260	1056
CARHR048080	1740
CARHR263300	1494
CARHR268130	516
CARHR044300	150
CARHR099050	1185
CARHR027920	1986
CARHR127700	2312
CARHR079560	1701
CARHR051500	513
CARHR180210	285
CARHR188020	321
CARHR059070	1890
CARHR011450	861
CARHR036680	1389
CARHR153820	492
CARHR195610	1687
CARHR017120	2330
CARHR255400	426
CARHR165800	1401
CARHR119680	1407
CARHR269880	1703
CARHR098900	1788
CARHR217940	1079
CARHR192310	405
CARHR244710	2569
CARHR252750	1398
CARHR011390	453
CARHR167400	3233
CARHR185190	690
CARHR105620	1191
CARHR224410	987
CARHR240840	984
CARHR064980	2079
CARHR052850	198
CARHR256270	915
CARHR021510	1326
CARHR102930	447
CARHR056570	2905
CARHR161720	489
CARHR034310	1585
CARHR118480	2931
CARHR146100	1228
CARHR067290	960
CARHR267370	261
CARHR010470	2616
CARHR139910	1101
CARHR256180	549
CARHR114680	333
CARHR024350	1024
CARHR147850	1158
CARHR091300	438
CARHR138060	813
CARHR118150	747
CARHR184820	1889
CARHR221450	3605
CARHR142370	4389
CARHR035590	348
CARHR245500	966
CARHR056390	2709
CARHR166710	1623
CARHR227850	2382
CARHR113790	1404
CARHR057620	1782
CARHR257580	1101
CARHR253000	642
CARHR117080	2706
CARHR220490	558
CARHR109840	4297
CARHR115790	1341
CARHR261430	819
CARHR266420	255
CARHR071890	1446
CARHR194000	3162
CARHR257630	207
CARHR209500	1036
CARHR117330	1721
CARHR027960	669
CARHR053810	810
CARHR104530	3853
CARHR092650	2092
CARHR076320	1248
CARHR143420	1251
CARHR032060	805
CARHR107410	393
CARHR023820	1618
CARHR276140	591
CARHR099990	1973
CARHR087910	4071
CARHR027110	2333
CARHR022190	609
CARHR079360	3798
CARHR258780	678
CARHR170140	937
CARHR006860	1395
CARHR177490	1020
CARHR067270	1611
CARHR227140	2318
CARHR077250	1002
CARHR260740	969
CARHR258250	1596
CARHR068530	1941
CARHR250060	1269
CARHR277230	741
CARHR059910	1818
CARHR202410	1261
CARHR251330	960
CARHR222530	760
CARHR115720	2655
CARHR103910	516
CARHR108030	1446
CARHR076810	603
CARHR197060	561
CARHR036760	1071
CARHR262420	978
CARHR026240	2257
CARHR238010	5226
CARHR140190	2640
CARHR033730	1827
CARHR264110	509
CARHR269740	1754
CARHR038610	1599
CARHR074410	972
CARHR130650	2271
CARHR007400	1497
CARHR132240	2253
CARHR030420	324
CARHR274690	1673
CARHR128860	561
CARHR135020	348
CARHR259120	594
CARHR071860	663
CARHR141410	345
CARHR140440	495
CARHR033880	1986
CARHR210390	390
CARHR000830	1471
CARHR229660	3540
CARHR222390	601
CARHR285510	552
CARHR018280	3418
CARHR084390	1989
CARHR221840	1464
CARHR225540	843
CARHR132790	1448
CARHR274520	739
CARHR101510	225
CARHR196330	3333
CARHR047500	3676
CARHR239760	537
CARHR002570	2240
CARHR030280	3071
CARHR128280	1963
CARHR124700	1104
CARHR271340	1089
CARHR039560	1899
CARHR135680	393
CARHR087280	1623
CARHR173550	1164
CARHR109070	1899
CARHR279110	2706
CARHR031770	525
CARHR234220	2919
CARHR123950	1820
CARHR043550	1128
CARHR034050	942
CARHR128130	939
CARHR228530	4016
CARHR133680	585
CARHR014160	1329
CARHR171950	2129
CARHR087130	1846
CARHR135970	2694
CARHR035900	1215
CARHR031480	1351
CARHR224630	684
CARHR131260	1293
CARHR164400	2443
CARHR139070	1182
CARHR176450	771
CARHR173180	5256
CARHR134080	830
CARHR169630	1690
CARHR071130	5631
CARHR138300	1227
CARHR175180	1585
CARHR133530	1712
CARHR005710	747
CARHR276580	831
CARHR001000	2781
CARHR125070	624
CARHR220820	2115
CARHR172200	1467
CARHR089950	1387
CARHR176980	3270
CARHR178460	326
CARHR008520	1974
CARHR111020	1707
CARHR043990	601
CARHR283110	1143
CARHR108850	951
CARHR279800	1413
CARHR015690	1956
CARHR174580	891
CARHR086660	1583
CARHR042020	1095
CARHR078620	3446
CARHR277180	708
CARHR130130	1790
CARHR089480	1776
CARHR094230	621
CARHR111790	4697
CARHR126670	2186
CARHR286520	942
CARHR015340	1128
CARHR122700	1900
CARHR187620	1731
CARHR231300	1588
CARHR270190	183
CARHR003710	1056
CARHR160870	2532
CARHR019440	804
CARHR007870	534
CARHR293250	3314
CARHR110770	2065
CARHR240260	2217
CARHR081570	210
CARHR201800	3293
CARHR282240	516
CARHR193200	351
CARHR089220	1070
CARHR000060	873
CARHR249770	3481
CARHR273250	2649
CARHR045270	1665
CARHR211830	1530
CARHR218380	786
CARHR099210	2144
CARHR095540	3816
CARHR203400	1988
CARHR247600	1678
CARHR005970	2786
CARHR154870	1974
CARHR120630	225
CARHR159880	4640
CARHR181500	2640
CARHR236330	1820
CARHR121940	1386
CARHR020620	757
CARHR090070	2908
CARHR081390	2645
CARHR151990	1562
CARHR155470	778
CARHR219380	3183
CARHR080620	534
CARHR208000	1478
CARHR119440	2723
CARHR045890	3253
CARHR159770	1335
CARHR192150	1930
CARHR166110	4371
CARHR252510	1752
CARHR019990	1531
CARHR233210	357
CARHR065610	578
CARHR167240	2310
CARHR282930	1170
CARHR017450	987
CARHR188100	564
CARHR001820	852
CARHR161830	513
CARHR242640	780
CARHR009070	270
CARHR202750	1998
CARHR013340	3461
CARHR069910	1359
CARHR246550	972
CARHR096890	3833
CARHR120090	432
CARHR050920	822
CARHR218650	708
CARHR240590	5473
CARHR146030	1452
CARHR190790	3114
CARHR219520	1362
CARHR267170	1047
CARHR212710	2705
CARHR107870	747
CARHR060390	381
CARHR048940	435
CARHR150640	204
CARHR094790	1359
CARHR118310	228
CARHR153590	288
CARHR185970	1877
CARHR206120	1371
CARHR152640	210
CARHR125910	2129
CARHR029880	776
CARHR010100	3161
CARHR288470	2277
CARHR162560	1332
CARHR189270	2836
CARHR078210	1410
CARHR217290	273
CARHR091670	2527
CARHR280260	855
CARHR011850	596
CARHR198140	2342
CARHR195310	1764
CARHR214920	4323
CARHR062820	1108
CARHR158910	1350
CARHR168220	1917
CARHR056800	630
CARHR064250	1143
CARHR052380	823
CARHR213040	873
CARHR217740	832
CARHR097850	366
CARHR257030	2754
CARHR142170	974
CARHR173610	1082
CARHR052650	1107
CARHR115000	306
CARHR201470	1146
CARHR157690	1217
CARHR191540	1683
CARHR063150	435
CARHR167930	3682
CARHR053380	654
CARHR079160	654
CARHR092320	1020
CARHR043030	827
CARHR290480	375
CARHR149470	234
CARHR077300	372
CARHR046200	3947
CARHR136150	1769
CARHR292390	303
CARHR068560	1912
CARHR028820	645
CARHR169570	1581
CARHR192930	1611
CARHR186230	1284
CARHR214210	405
CARHR230170	1782
CARHR068730	1127
CARHR250260	1133
CARHR235520	243
CARHR067700	801
CARHR292640	576
CARHR053520	705
CARHR057860	457
CARHR066250	1548
CARHR046980	579
CARHR197260	1252
CARHR148980	1750
CARHR068880	960
CARHR278400	2163
CARHR145960	357
CARHR255300	603
CARHR275630	1263
CARHR269180	1106
CARHR210820	1002
CARHR144380	2841
CARHR048120	1236
CARHR074650	6472
CARHR024130	1972
CARHR183460	2189
CARHR112850	1536
CARHR211190	1728
CARHR294490	270
CARHR250880	1666
CARHR110980	630
CARHR187540	859
CARHR151520	3532
CARHR073150	2995
CARHR264460	1391
CARHR021230	1331
CARHR260370	708
CARHR016190	1161
CARHR197880	3564
CARHR293110	2300
CARHR268580	1635
CARHR145380	2643
CARHR010930	1416
CARHR196130	1389
CARHR061700	1347
CARHR223930	2707
CARHR161480	1587
CARHR165300	5965
CARHR118030	4063
CARHR252650	540
CARHR166650	1066
CARHR016440	822
CARHR050130	1890
CARHR099150	459
CARHR243250	426
CARHR100910	234
CARHR184160	471
CARHR117510	2271
CARHR055160	528
CARHR065930	3793
CARHR101060	456
CARHR289240	1281
CARHR161150	3759
CARHR140600	573
CARHR199370	468
CARHR128260	4121
CARHR034290	324
CARHR263110	237
CARHR104740	1584
CARHR020540	360
CARHR075210	1587
CARHR079940	2060
CARHR115850	516
CARHR105290	1970
CARHR083420	2793
CARHR105040	564
CARHR119160	1258
CARHR139270	1564
CARHR184780	657
CARHR133330	1642
CARHR221390	333
CARHR225830	1377
CARHR258430	615
CARHR017710	503
CARHR083390	1993
CARHR168710	903
CARHR010000	540
CARHR198420	1033
CARHR063830	441
CARHR221640	662
CARHR055830	423
CARHR185780	3621
CARHR029690	1355
CARHR270180	1841
CARHR139890	1636
CARHR147950	390
CARHR256020	2082
CARHR114720	975
CARHR102740	504
CARHR088510	882
CARHR057470	1242
CARHR253210	1616
CARHR035650	2595
CARHR106240	2961
CARHR259740	246
CARHR032920	678
CARHR091530	2272
CARHR023160	1949
CARHR028730	3110
CARHR232070	3448
CARHR281820	4381
CARHR137360	2622
CARHR009900	1446
CARHR134940	882
CARHR178360	1093
CARHR224870	3315
CARHR077840	456
CARHR024670	444
CARHR028120	3526
CARHR182250	228
CARHR171420	1326
CARHR257770	926
CARHR008050	1264
CARHR022780	1167
CARHR072360	1518
CARHR203640	1659
CARHR250740	354
CARHR036350	1548
CARHR109650	3359
CARHR287300	255
CARHR023780	1398
CARHR177860	183
CARHR103030	2392
CARHR194210	1970
CARHR041200	385
CARHR107590	1116
CARHR087890	2520
CARHR027090	4427
CARHR204140	772
CARHR209310	1541
CARHR170480	1567
CARHR040150	486
CARHR039830	300
CARHR274220	231
CARHR223090	1754
CARHR025780	1363
CARHR131400	570
CARHR107620	564
CARHR159570	354
CARHR240560	592
CARHR232320	475
CARHR263940	522
CARHR027320	615
CARHR081800	405
CARHR086850	2089
CARHR265470	905
CARHR025250	1314
CARHR177280	378
CARHR202590	864
CARHR037400	3747
CARHR033380	1639
CARHR226110	1557
CARHR285230	1463
CARHR197740	2787
CARHR284540	1353
CARHR001590	1754
CARHR177130	171
CARHR275570	1443
CARHR130750	573
CARHR248880	2674
CARHR108260	396
CARHR100070	993
CARHR101300	1779
CARHR047310	840
CARHR122920	354
CARHR238600	2454
CARHR033960	936
CARHR234580	4185
CARHR264700	2281
CARHR229580	519
CARHR172500	1290
CARHR038000	1317
CARHR094800	1077
CARHR171580	240
CARHR285490	276
CARHR132450	1749
CARHR209540	1605
CARHR233580	3890
CARHR248280	1578
CARHR031520	1366
CARHR080860	2608
CARHR168020	1002
CARHR070180	2151
CARHR134120	1236
CARHR287890	168
CARHR000640	1764
CARHR226800	3283
CARHR221830	813
CARHR018870	462
CARHR005030	1425
CARHR163760	1962
CARHR281070	960
CARHR109130	1272
CARHR004340	1100
CARHR009590	852
CARHR164230	1083
CARHR215500	213
CARHR070450	3324
CARHR121170	2122
CARHR171850	2283
CARHR051880	2760
CARHR124510	201
CARHR087070	1851
CARHR175570	1481
CARHR278010	999
CARHR206220	5353
CARHR083980	3568
CARHR206450	1956
CARHR279300	750
CARHR201100	465
CARHR009040	1743
CARHR046440	2337
CARHR117930	1558
CARHR169770	1596
CARHR280670	375
CARHR239260	375
CARHR018290	2584
CARHR271680	252
CARHR014730	762
CARHR121350	489
CARHR200850	1532
CARHR039060	498
CARHR129160	1110
CARHR005690	723
CARHR043540	3428
CARHR230770	3926
CARHR235720	489
CARHR205370	4197
CARHR223220	1193
CARHR115300	966
CARHR292400	294
CARHR013960	327
CARHR201790	528
CARHR041940	2796
CARHR003690	1122
CARHR286850	1521
CARHR082160	570
CARHR018120	2423
CARHR186780	2217
CARHR005960	2786
CARHR276790	640
CARHR129290	4450
CARHR054410	240
CARHR037060	345
CARHR001270	711
CARHR272080	3780
CARHR059620	1044
CARHR003520	984
CARHR008310	1500
CARHR246840	1553
CARHR270790	2503
CARHR111610	1508
CARHR088890	282
CARHR082290	1121
CARHR156890	1512
CARHR283320	480
CARHR160440	285
CARHR015060	996
CARHR272330	558
CARHR170810	921
CARHR096510	1708
CARHR151320	615
CARHR204420	2214
CARHR048450	1279
CARHR097640	1138
CARHR021030	1668
CARHR038820	663
CARHR270240	291
CARHR244560	3460
CARHR129830	1299
CARHR248410	1493
CARHR126820	216
CARHR090910	885
CARHR044590	468
CARHR113510	1835
CARHR237760	4010
CARHR122110	1314
CARHR113430	618
CARHR127190	1206
CARHR180060	285
CARHR235890	762
CARHR290800	432
CARHR021780	1198
CARHR181330	219
CARHR082830	4235
CARHR252490	861
CARHR016600	2371
CARHR211970	1332
CARHR099390	4681
CARHR012770	3336
CARHR289000	1596
CARHR225920	1701
CARHR237490	897
CARHR161310	918
CARHR165670	2178
CARHR166320	972
CARHR050880	2468
CARHR191360	705
CARHR243720	912
CARHR020780	1617
CARHR195870	498
CARHR110250	432
CARHR247030	1917
CARHR095730	909
CARHR151810	882
CARHR119760	285
CARHR123240	219
CARHR113500	1288
CARHR207190	213
CARHR005590	1895
CARHR117610	1469
CARHR153410	345
CARHR186810	2160
CARHR290110	1143
CARHR080470	2861
CARHR064860	572
CARHR208210	513
CARHR292980	1986
CARHR077100	854
CARHR199170	1170
CARHR010600	1301
CARHR069890	1692
CARHR011950	1212
CARHR207440	2352
CARHR095180	2967
CARHR195290	3564
CARHR065400	1938
CARHR061980	1119
CARHR092420	540
CARHR289910	1269
CARHR212690	1565
CARHR149390	738
CARHR188310	1488
CARHR029450	393
CARHR185540	1014
CARHR056100	189
CARHR069760	574
CARHR162150	1162
CARHR245760	1902
CARHR057270	1678
CARHR216140	1974
CARHR063580	1735
CARHR241860	1167
CARHR163200	1494
CARHR112670	1224
CARHR051820	1632
CARHR267700	1065
CARHR212520	1071
CARHR116560	447
CARHR060580	2122
CARHR256550	414
CARHR246070	516
CARHR091730	1392
CARHR260950	2346
CARHR092280	2974
CARHR142700	1869
CARHR146880	1360
CARHR206710	462
CARHR062980	1179
CARHR137160	987
CARHR068380	738
CARHR084560	1449
CARHR018450	3202
CARHR060630	702
CARHR093770	321
CARHR245180	1026
CARHR193980	894
CARHR028320	444
CARHR091880	3108
CARHR227400	4146
CARHR253450	1329
CARHR017850	3482
CARHR072160	996
CARHR022540	1851
CARHR156130	657
CARHR250180	1008
CARHR062670	991
CARHR026430	2751
CARHR093480	1080
CARHR061990	300
CARHR147280	1509
CARHR266070	1741
CARHR194450	2058
CARHR067000	639
CARHR169980	1355
CARHR257200	759
CARHR290650	414
CARHR144950	1595
CARHR253980	1428
CARHR068960	2017
CARHR054990	978
CARHR058230	1614
CARHR274020	195
CARHR259370	1149
CARHR049190	1533
CARHR106990	2538
CARHR247850	1471
CARHR143070	3048
CARHR147750	2295
CARHR061010	228
CARHR136690	3093
CARHR251580	2629
CARHR194980	1124
CARHR210160	1404
CARHR098700	591
CARHR144480	719
CARHR111930	2634
CARHR278230	1602
CARHR274790	483
CARHR070290	471
CARHR265670	1222
CARHR049440	1191
CARHR077530	1572
CARHR196580	1572
CARHR182900	201
CARHR136340	867
CARHR261700	1203
CARHR202450	2563
CARHR269570	504
CARHR066350	515
CARHR197180	1062
CARHR183050	816
CARHR223870	165
CARHR006120	1378
CARHR180500	414
CARHR073340	1611
CARHR067910	3923
CARHR275770	930
CARHR059540	552
CARHR210780	276
CARHR114140	471
CARHR160160	1620
CARHR100270	1266
CARHR061510	411
CARHR165530	3321
CARHR269390	767
CARHR048710	4357
CARHR222570	657
CARHR245770	1812
CARHR211780	4835
CARHR128410	1614
CARHR268620	1354
CARHR075970	1899
CARHR262940	477
CARHR125620	2517
CARHR216250	2606
CARHR140830	975
CARHR178000	1038
CARHR163210	3111
CARHR074370	918
CARHR050690	1640
CARHR211460	1272
CARHR100890	897
CARHR084740	1085
CARHR020990	486
CARHR184080	375
CARHR225110	1194
CARHR065870	3044
CARHR206870	1536
