# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrD.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_18.chrD.homeolog.ref.bam
TraesCS1D02G010500	chr1D	5451127	5454160	+	3034	4
TraesCS1D02G010600	chr1D	5454886	5458082	+	3197	0
TraesCS1D02G010700	chr1D	5511254	5518280	+	7027	1
TraesCS1D02G010800	chr1D	5518280	5520666	+	2387	0
TraesCS1D02G010900	chr1D	5520399	5524174	-	3776	0
TraesCS1D02G011100	chr1D	6135823	6139951	+	4129	0
TraesCS1D02G011200	chr1D	6168877	6204308	+	35432	0
TraesCS1D02G011300	chr1D	6226393	6242143	+	15751	0
TraesCS1D02G011400	chr1D	6263619	6268342	-	4724	0
TraesCS1D02G011500	chr1D	6279456	6281010	-	1555	0
TraesCS1D02G011547	chr1D	6296476	6298116	-	1641	0
TraesCS1D02G011600	chr1D	6324402	6328381	-	3980	0
TraesCS1D02G011700	chr1D	6330893	6345564	-	14672	78
TraesCS1D02G011800	chr1D	6350524	6353132	-	2609	0
TraesCS1D02G011900	chr1D	6365655	6367389	-	1735	0
TraesCS1D02G012000	chr1D	6398253	6400001	-	1749	0
TraesCS1D02G012100	chr1D	6409934	6411261	-	1328	0
TraesCS1D02G012200	chr1D	6460577	6463385	-	2809	0
TraesCS1D02G012300	chr1D	6475182	6478014	+	2833	0
TraesCS1D02G012400	chr1D	6489085	6491176	-	2092	0
TraesCS1D02G012500	chr1D	6538891	6542462	-	3572	0
TraesCS1D02G012600	chr1D	6546770	6548532	-	1763	0
TraesCS1D02G012700	chr1D	6590228	6594257	-	4030	0
TraesCS1D02G012800	chr1D	6710752	6714625	-	3874	0
TraesCS1D02G012900	chr1D	6717845	6721625	-	3781	0
TraesCS1D02G013000	chr1D	6730413	6732961	-	2549	0
TraesCS1D02G013100	chr1D	6765844	6771905	-	6062	7
TraesCS1D02G013200	chr1D	6774424	6778533	+	4110	17
TraesCS1D02G013300	chr1D	6778290	6780323	-	2034	8
TraesCS1D02G013400	chr1D	6785398	6787884	-	2487	0
TraesCS1D02G013500	chr1D	6789468	6795893	+	6426	0
TraesCS1D02G013600	chr1D	6817464	6820186	+	2723	0
TraesCS1D02G013700	chr1D	6864265	6867168	+	2904	0
TraesCS1D02G013800	chr1D	6898428	6902098	+	3671	11
TraesCS1D02G013900	chr1D	6913154	6915347	+	2194	0
TraesCS1D02G014000	chr1D	6915347	6916682	+	1336	0
TraesCS1D02G014100	chr1D	7012497	7014268	-	1772	0
TraesCS1D02G014200	chr1D	7017922	7023354	+	5433	0
TraesCS1D02G014300	chr1D	7027754	7030742	+	2989	0
TraesCS1D02G014400	chr1D	7030116	7034875	-	4760	0
TraesCS1D02G014500	chr1D	7037659	7039661	-	2003	0
TraesCS1D02G014600	chr1D	7054141	7059731	-	5591	0
TraesCS1D02G014700	chr1D	7064207	7067992	-	3786	0
TraesCS1D02G014900	chr1D	7073574	7078996	+	5423	0
TraesCS1D02G015000	chr1D	7128017	7129945	-	1929	0
TraesCS1D02G015100	chr1D	7154530	7156630	-	2101	0
TraesCS1D02G015200	chr1D	7180893	7183070	+	2178	0
TraesCS1D02G015300	chr1D	7203336	7207634	-	4299	0
TraesCS1D02G015400	chr1D	7209284	7212840	+	3557	0
TraesCS1D02G015412	chr1D	7211888	7215050	-	3163	0
TraesCS1D02G015500	chr1D	7276369	7280463	-	4095	0
TraesCS1D02G015600	chr1D	7316111	7319545	+	3435	0
TraesCS1D02G015700	chr1D	7339643	7342089	-	2447	0
TraesCS1D02G015800	chr1D	7346617	7355326	+	8710	0
TraesCS1D02G015900	chr1D	7346034	7350992	-	4959	0
TraesCS1D02G016000	chr1D	7372001	7375338	+	3338	0
TraesCS1D02G016026	chr1D	7380284	7384806	-	4523	0
TraesCS1D02G016100	chr1D	7418157	7422949	-	4793	0
TraesCS1D02G016200	chr1D	7429822	7446013	+	16192	0
TraesCS1D02G016400	chr1D	7466148	7468425	-	2278	0
TraesCS1D02G016500	chr1D	7471890	7478757	-	6868	69
TraesCS1D02G016600	chr1D	7502196	7507050	+	4855	0
TraesCS1D02G016700	chr1D	7510088	7512448	+	2361	0
TraesCS1D02G016800	chr1D	7582590	7587977	-	5388	0
TraesCS1D02G016900	chr1D	7592690	7610204	+	17515	0
TraesCS1D02G016983	chr1D	7671168	7677063	+	5896	0
TraesCS1D02G016991	chr1D	7678267	7681938	+	3672	0
TraesCS1D02G017000	chr1D	7694093	7695874	+	1782	0
TraesCS1D02G017100	chr1D	7715652	7718409	+	2758	0
TraesCS1D02G017200	chr1D	7745049	7757461	+	12413	0
TraesCS1D02G017300	chr1D	7768698	7771361	+	2664	0
TraesCS1D02G017400	chr1D	7820918	7824449	+	3532	0
TraesCS1D02G017500	chr1D	7833433	7835379	+	1947	3
TraesCS1D02G017600	chr1D	7868467	7873465	+	4999	0
TraesCS1D02G017700	chr1D	7873518	7876881	-	3364	0
TraesCS1D02G017800	chr1D	7877418	7881329	+	3912	4
TraesCS1D02G017900	chr1D	7895854	7899155	-	3302	0
TraesCS1D02G018000	chr1D	7899692	7903551	+	3860	0
TraesCS1D02G018100	chr1D	7904554	7907154	-	2601	5
TraesCS1D02G018200	chr1D	7912104	7917168	-	5065	2
TraesCS1D02G018300	chr1D	7917701	7921587	-	3887	285
TraesCS1D02G018400	chr1D	7943751	7950175	-	6425	10
TraesCS1D02G018500	chr1D	8014222	8017565	+	3344	0
TraesCS1D02G018600	chr1D	8103295	8104993	-	1699	0
TraesCS1D02G018700	chr1D	8181627	8186066	-	4440	0
TraesCS1D02G018800	chr1D	8225547	8230158	-	4612	0
TraesCS1D02G019000	chr1D	8259962	8262206	+	2245	0
TraesCS1D02G019100	chr1D	8269576	8272366	+	2791	0
TraesCS1D02G019200	chr1D	8278639	8281940	-	3302	0
TraesCS1D02G019300	chr1D	8320720	8324131	+	3412	0
TraesCS1D02G019400	chr1D	8388080	8393051	+	4972	0
TraesCS1D02G019500	chr1D	8473982	8475961	+	1980	0
TraesCS1D02G019600	chr1D	8604145	8610344	-	6200	0
TraesCS1D02G019700	chr1D	8610887	8617204	+	6318	0
TraesCS1D02G019800	chr1D	8617358	8619547	-	2190	0
TraesCS1D02G019900	chr1D	8621524	8629139	-	7616	0
TraesCS1D02G020000	chr1D	8711647	8715042	+	3396	128
TraesCS1D02G020100	chr1D	8714760	8717722	-	2963	3
TraesCS1D02G020200	chr1D	8719721	8728943	+	9223	0
TraesCS1D02G020300	chr1D	8744977	8748984	+	4008	0
TraesCS1D02G020400	chr1D	8796980	8799800	+	2821	0
TraesCS1D02G020500	chr1D	8819239	8820770	+	1532	0
TraesCS1D02G020600	chr1D	8836433	8838400	+	1968	0
TraesCS1D02G020619	chr1D	8837803	8842102	-	4300	0
TraesCS1D02G020700	chr1D	8854239	8856840	+	2602	0
TraesCS1D02G020800	chr1D	8918896	8926301	-	7406	0
TraesCS1D02G020900	chr1D	8987695	8997868	-	10174	0
TraesCS1D02G021000	chr1D	9027322	9037195	-	9874	0
TraesCS1D02G021100	chr1D	9054631	9060146	+	5516	0
TraesCS1D02G021200	chr1D	9085119	9091764	-	6646	0
TraesCS1D02G021400	chr1D	9216396	9217915	-	1520	0
TraesCS1D02G021600	chr1D	9271902	9277824	+	5923	0
TraesCS1D02G021700	chr1D	9283505	9289824	+	6320	0
TraesCS1D02G021751	chr1D	9308301	9328352	-	20052	0
TraesCS1D02G021800	chr1D	9337424	9349159	-	11736	0
TraesCS1D02G021900	chr1D	9363173	9364550	-	1378	0
TraesCS1D02G022000	chr1D	9398302	9400347	-	2046	0
TraesCS1D02G022100	chr1D	9419345	9420560	-	1216	0
TraesCS1D02G022200	chr1D	9426158	9427373	+	1216	0
TraesCS1D02G022300	chr1D	9440832	9444539	+	3708	0
TraesCS1D02G022400	chr1D	9480698	9484997	-	4300	0
TraesCS1D02G022500	chr1D	9575753	9594333	+	18581	0
TraesCS1D02G022600	chr1D	9725762	9727385	-	1624	0
TraesCS1D02G022700	chr1D	9734780	9738442	-	3663	0
TraesCS1D02G022800	chr1D	9744685	9747256	+	2572	0
TraesCS1D02G022900	chr1D	9757944	9767176	+	9233	3
TraesCS1D02G023000	chr1D	9774410	9780817	+	6408	0
TraesCS1D02G023100	chr1D	9799492	9812625	+	13134	0
TraesCS1D02G023200	chr1D	9857891	9859145	+	1255	0
TraesCS1D02G023300	chr1D	9861327	9863394	-	2068	0
TraesCS1D02G023400	chr1D	9871576	9876374	+	4799	0
TraesCS1D02G023500	chr1D	9884940	9888203	+	3264	0
TraesCS1D02G023600	chr1D	9929882	9933180	+	3299	0
TraesCS1D02G023700	chr1D	10024701	10028846	+	4146	0
TraesCS1D02G023800	chr1D	10028494	10031806	-	3313	0
TraesCS1D02G023900	chr1D	10062480	10065505	-	3026	0
TraesCS1D02G024000	chr1D	10068902	10070594	-	1693	0
TraesCS1D02G024100	chr1D	10152430	10156106	-	3677	0
TraesCS1D02G024200	chr1D	10169979	10174820	+	4842	0
TraesCS1D02G024300	chr1D	10178967	10186294	-	7328	0
TraesCS1D02G024400	chr1D	10256122	10268568	-	12447	5
TraesCS1D02G024500	chr1D	10291749	10295636	-	3888	0
TraesCS1D02G024600	chr1D	10367753	10373465	+	5713	0
TraesCS1D02G024700	chr1D	10380512	10382683	+	2172	5
TraesCS1D02G024800	chr1D	10382580	10387683	-	5104	2
TraesCS1D02G024900	chr1D	10390612	10391809	+	1198	0
TraesCS1D02G025000	chr1D	10391972	10393610	-	1639	0
TraesCS1D02G025100	chr1D	10397138	10400516	-	3379	2
TraesCS1D02G025200	chr1D	10407161	10408847	-	1687	0
TraesCS1D02G025300	chr1D	10414377	10417816	-	3440	0
TraesCS1D02G025400	chr1D	10431728	10437741	-	6014	0
TraesCS1D02G025500	chr1D	10515553	10518008	+	2456	0
TraesCS1D02G025600	chr1D	10547189	10549302	-	2114	0
TraesCS1D02G025700	chr1D	10599221	10604768	+	5548	0
TraesCS1D02G025800	chr1D	10626324	10627890	+	1567	0
TraesCS1D02G025900	chr1D	10647202	10649280	+	2079	0
TraesCS1D02G026000	chr1D	10660025	10664946	-	4922	1
TraesCS1D02G026100	chr1D	10665322	10671961	-	6640	0
TraesCS1D02G026200	chr1D	10715309	10722520	+	7212	9
TraesCS1D02G026300	chr1D	10722520	10724815	+	2296	0
TraesCS1D02G026400	chr1D	10736974	10739674	+	2701	3
TraesCS1D02G026500	chr1D	10740324	10742901	+	2578	0
TraesCS1D02G026600	chr1D	10761021	10764382	-	3362	0
TraesCS1D02G026700	chr1D	10772658	10777079	-	4422	19
TraesCS1D02G026800	chr1D	10808283	10811373	+	3091	0
TraesCS1D02G026900	chr1D	10835707	10838894	+	3188	0
TraesCS1D02G027000	chr1D	10843743	10846975	+	3233	0
TraesCS1D02G027100	chr1D	10929848	10932693	+	2846	0
TraesCS1D02G027200	chr1D	10933659	10936543	-	2885	0
TraesCS1D02G027300	chr1D	10955802	10957223	+	1422	0
TraesCS1D02G027400	chr1D	10986794	10988030	+	1237	0
TraesCS1D02G027500	chr1D	11041422	11042877	-	1456	0
TraesCS1D02G027600	chr1D	11052500	11055364	+	2865	0
TraesCS1D02G027700	chr1D	11090137	11091352	-	1216	0
TraesCS1D02G027800	chr1D	11096340	11097594	-	1255	0
TraesCS1D02G027900	chr1D	11123707	11125424	+	1718	0
TraesCS1D02G028000	chr1D	11124698	11125913	-	1216	0
TraesCS1D02G028100	chr1D	11130789	11132043	-	1255	0
TraesCS1D02G028200	chr1D	11175841	11183532	+	7692	0
TraesCS1D02G028300	chr1D	11198941	11200159	-	1219	0
TraesCS1D02G028400	chr1D	11200159	11202233	-	2075	0
TraesCS1D02G028500	chr1D	11205074	11206537	-	1464	0
TraesCS1D02G028600	chr1D	11272449	11279362	+	6914	0
TraesCS1D02G028700	chr1D	11287245	11293876	+	6632	0
TraesCS1D02G028736	chr1D	11319796	11322348	+	2553	0
TraesCS1D02G028800	chr1D	11396758	11401635	-	4878	0
TraesCS1D02G029000	chr1D	11408761	11416088	+	7328	0
TraesCS1D02G029100	chr1D	11451423	11460353	+	8931	0
TraesCS1D02G029200	chr1D	11493627	11500140	+	6514	0
TraesCS1D02G029300	chr1D	11524330	11528811	+	4482	0
TraesCS1D02G029400	chr1D	11542975	11550887	-	7913	0
TraesCS1D02G029500	chr1D	11616634	11625592	+	8959	27
TraesCS1D02G029600	chr1D	11630446	11635332	+	4887	0
TraesCS1D02G029700	chr1D	11638806	11640643	+	1838	0
TraesCS1D02G029800	chr1D	11640545	11641365	-	821	0
TraesCS1D02G029900	chr1D	11653673	11662254	-	8582	0
TraesCS1D02G030000	chr1D	11664577	11669738	+	5162	0
TraesCS1D02G030041	chr1D	11679306	11684061	+	4756	0
TraesCS1D02G030100	chr1D	11702960	11704652	+	1693	0
TraesCS1D02G030200	chr1D	11730970	11778221	-	47252	0
TraesCS1D02G030300	chr1D	11779392	11783116	-	3725	61
TraesCS1D02G030400	chr1D	11849875	11855704	+	5830	0
TraesCS1D02G030500	chr1D	11878831	11880866	+	2036	0
TraesCS1D02G030600	chr1D	11966309	11973553	+	7245	0
TraesCS1D02G030700	chr1D	11972829	11977690	-	4862	0
TraesCS1D02G030800	chr1D	12028858	12031963	-	3106	0
TraesCS1D02G030900	chr1D	12053846	12056987	-	3142	0
TraesCS1D02G031000	chr1D	12140576	12143753	-	3178	0
TraesCS1D02G031100	chr1D	12247604	12250931	-	3328	0
TraesCS1D02G031200	chr1D	12253358	12256547	-	3190	0
TraesCS1D02G031300	chr1D	12299616	12304935	+	5320	0
TraesCS1D02G031400	chr1D	12310956	12315305	+	4350	5
TraesCS1D02G031500	chr1D	12314930	12317420	-	2491	41
TraesCS1D02G031600	chr1D	12317841	12321788	-	3948	0
TraesCS1D02G031700	chr1D	12327162	12331337	+	4176	15
TraesCS1D02G031800	chr1D	12334159	12337241	-	3083	0
TraesCS1D02G031900	chr1D	12416494	12422532	+	6039	0
TraesCS1D02G032000	chr1D	12499203	12500505	+	1303	0
TraesCS1D02G032100	chr1D	12525180	12527874	+	2695	0
TraesCS1D02G032200	chr1D	12532041	12537914	+	5874	0
TraesCS1D02G032300	chr1D	12548602	12551980	-	3379	0
TraesCS1D02G032400	chr1D	12751629	12754043	-	2415	0
TraesCS1D02G032500	chr1D	12822196	12824771	+	2576	0
TraesCS1D02G032600	chr1D	13028775	13033480	+	4706	8
TraesCS1D02G032700	chr1D	13040668	13044201	+	3534	0
TraesCS1D02G032800	chr1D	13201509	13206268	-	4760	0
TraesCS1D02G032900	chr1D	13227154	13228483	-	1330	0
TraesCS1D02G033000	chr1D	13252259	13255640	+	3382	0
TraesCS1D02G033100	chr1D	13262397	13267424	+	5028	0
TraesCS1D02G033205	chr1D	13309388	13310777	+	1390	0
TraesCS1D02G033200	chr1D	13310429	13316106	-	5678	0
TraesCS1D02G033300	chr1D	13319662	13325391	-	5730	0
TraesCS1D02G033400	chr1D	13361256	13368718	-	7463	0
TraesCS1D02G033500	chr1D	13503088	13509137	+	6050	0
TraesCS1D02G033600	chr1D	13725755	13728514	-	2760	0
TraesCS1D02G033700	chr1D	13796797	13802577	-	5781	0
TraesCS1D02G033800	chr1D	13809921	13817663	-	7743	0
TraesCS1D02G033900	chr1D	13850912	13853241	-	2330	0
TraesCS1D02G034000	chr1D	14186018	14188221	-	2204	0
TraesCS1D02G034100	chr1D	14476778	14480162	+	3385	14
TraesCS1D02G034200	chr1D	14479949	14487798	-	7850	24
TraesCS1D02G034300	chr1D	14688697	14710637	+	21941	0
TraesCS1D02G034400	chr1D	14716423	14719360	-	2938	0
TraesCS1D02G034500	chr1D	14968525	14971629	+	3105	0
TraesCS1D02G034600	chr1D	15047395	15050401	-	3007	49
TraesCS1D02G034705	chr1D	15293910	15297609	+	3700	0
TraesCS1D02G034700	chr1D	15305028	15315662	+	10635	0
TraesCS1D02G034800	chr1D	15321414	15323306	+	1893	0
TraesCS1D02G034900	chr1D	15359221	15365060	+	5840	0
TraesCS1D02G035004	chr1D	15511214	15513064	+	1851	0
TraesCS1D02G035000	chr1D	15519928	15521550	+	1623	0
TraesCS1D02G035100	chr1D	16225155	16227099	+	1945	0
TraesCS1D02G035200	chr1D	16270894	16272914	+	2021	0
TraesCS1D02G035300	chr1D	16378905	16382938	+	4034	0
TraesCS1D02G035500	chr1D	16384978	16386748	-	1771	0
TraesCS1D02G035600	chr1D	16401928	16408856	-	6929	0
TraesCS1D02G035700	chr1D	16504613	16507169	+	2557	0
TraesCS1D02G035800	chr1D	16610392	16614480	+	4089	0
TraesCS1D02G035900	chr1D	16677375	16681731	+	4357	0
TraesCS1D02G036000	chr1D	16787305	16789896	-	2592	0
TraesCS1D02G036100	chr1D	16825075	16827387	-	2313	0
TraesCS1D02G036200	chr1D	16894670	16896602	+	1933	0
TraesCS1D02G036300	chr1D	16964512	16972858	-	8347	2
TraesCS1D02G036400	chr1D	16976424	16978338	-	1915	0
TraesCS1D02G036500	chr1D	17015539	17018395	+	2857	0
TraesCS1D02G036600	chr1D	17038772	17040320	-	1549	0
TraesCS1D02G036700	chr1D	17166872	17169801	-	2930	12
TraesCS1D02G036800	chr1D	17192259	17196753	-	4495	0
TraesCS1D02G036900	chr1D	17235484	17237755	-	2272	0
TraesCS1D02G037000	chr1D	17247959	17250284	+	2326	0
TraesCS1D02G037100	chr1D	17265207	17267561	+	2355	0
TraesCS1D02G037200	chr1D	17627901	17631762	+	3862	0
TraesCS1D02G037300	chr1D	17641532	17642711	-	1180	0
TraesCS1D02G037335	chr1D	17644068	17647131	+	3064	0
TraesCS1D02G037400	chr1D	17647124	17652973	-	5850	0
TraesCS1D02G037500	chr1D	17655826	17663410	-	7585	0
TraesCS1D02G037600	chr1D	17996962	18000957	-	3996	0
TraesCS1D02G037700	chr1D	18064960	18069880	+	4921	23
TraesCS1D02G037800	chr1D	18071852	18074201	-	2350	0
TraesCS1D02G037900	chr1D	18097506	18100493	+	2988	19
TraesCS1D02G038000	chr1D	18159132	18164387	+	5256	0
TraesCS1D02G038100	chr1D	18240885	18243567	-	2683	0
TraesCS1D02G038200	chr1D	18395295	18396414	-	1120	0
TraesCS1D02G038300	chr1D	18429337	18433427	-	4091	0
TraesCS1D02G038400	chr1D	18575716	18579738	+	4023	0
TraesCS1D02G038500	chr1D	18589080	18593000	+	3921	0
TraesCS1D02G038600	chr1D	18610568	18612437	+	1870	0
TraesCS1D02G038700	chr1D	18685856	18689162	+	3307	0
TraesCS1D02G038800	chr1D	18801854	18818928	-	17075	0
TraesCS1D02G038900	chr1D	18867094	18868621	-	1528	0
TraesCS1D02G039000	chr1D	18906650	18916939	-	10290	0
TraesCS1D02G039100	chr1D	18965165	18968909	-	3745	0
TraesCS1D02G039200	chr1D	18992849	18995483	-	2635	0
TraesCS1D02G039300	chr1D	18999005	19001969	-	2965	0
TraesCS1D02G039400	chr1D	19011091	19020939	-	9849	0
TraesCS1D02G039500	chr1D	19022361	19026014	+	3654	0
TraesCS1D02G039600	chr1D	19126949	19130430	-	3482	55
TraesCS1D02G039700	chr1D	19135862	19137068	-	1207	0
TraesCS1D02G039800	chr1D	19150972	19152814	+	1843	0
TraesCS1D02G039900	chr1D	19184952	19186621	+	1670	0
TraesCS1D02G040000	chr1D	19185867	19189028	-	3162	0
TraesCS1D02G040100	chr1D	19258876	19274516	+	15641	0
TraesCS1D02G040200	chr1D	19292663	19296980	-	4318	0
TraesCS1D02G040300	chr1D	19298217	19312122	+	13906	0
TraesCS1D02G040400	chr1D	19341296	19347065	+	5770	0
