# Program:featureCounts v1.6.0; Command:"/home/jqsun/local/bin/featureCounts" "-T" "1" "-s" "1" "-t" "gene" "-g" "ID" "-a" "/home/jqsun/research/data/genome/IWGSC_RefSeq_v1.1_CS/iwgsc_refseqv1.1_genes_2017July06/IWGSC_v1.1_HC_20170706.ext_1.0k.chrA.gff3" "-o" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.counts.homeolog.txt" "20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam" 
Geneid	Chr	Start	End	Strand	Length	20181109.A-TaeRS_1_Tae_RS1_1.chrA.homeolog.ref.bam
TraesCS1A02G002500	chr1A	1231354	1238469	-	7116	7
TraesCS1A02G002700	chr1A	1335841	1348326	-	12486	10
TraesCS1A02G002800	chr1A	1564963	1567220	-	2258	0
TraesCS1A02G002900	chr1A	1657115	1667923	+	10809	0
TraesCS1A02G003000	chr1A	1668949	1671358	+	2410	0
TraesCS1A02G003100	chr1A	1688351	1698842	-	10492	0
TraesCS1A02G003200	chr1A	1721421	1735947	+	14527	0
TraesCS1A02G003300	chr1A	1792119	1816634	+	24516	0
TraesCS1A02G003400	chr1A	2160814	2163439	-	2626	0
TraesCS1A02G003500	chr1A	2183957	2185397	-	1441	0
TraesCS1A02G003546	chr1A	2200978	2204830	+	3853	0
TraesCS1A02G003600	chr1A	2228188	2236819	-	8632	0
TraesCS1A02G003700	chr1A	2291887	2293891	+	2005	0
TraesCS1A02G003800	chr1A	2376713	2379143	-	2431	0
TraesCS1A02G003900	chr1A	2391500	2394497	+	2998	0
TraesCS1A02G004000	chr1A	2436843	2441540	-	4698	0
TraesCS1A02G004100	chr1A	2474575	2482205	+	7631	0
TraesCS1A02G004126	chr1A	2490452	2520369	+	29918	0
TraesCS1A02G004200	chr1A	2539491	2540958	-	1468	3
TraesCS1A02G004300	chr1A	2550647	2570820	+	20174	0
TraesCS1A02G004400	chr1A	2641460	2648016	-	6557	0
TraesCS1A02G004500	chr1A	2660957	2667052	-	6096	0
TraesCS1A02G004600	chr1A	2836094	2843854	-	7761	0
TraesCS1A02G004700	chr1A	2847902	2851951	+	4050	0
TraesCS1A02G004800	chr1A	2934676	2939176	+	4501	0
TraesCS1A02G004900	chr1A	2942044	2946027	+	3984	0
TraesCS1A02G005000	chr1A	2975187	2977767	+	2581	0
TraesCS1A02G005100	chr1A	2977903	2981121	-	3219	0
TraesCS1A02G005200	chr1A	2982629	2987266	+	4638	0
TraesCS1A02G005300	chr1A	3013341	3015979	+	2639	0
TraesCS1A02G005315	chr1A	3018865	3021011	-	2147	0
TraesCS1A02G005368	chr1A	3073492	3075657	-	2166	0
TraesCS1A02G005387	chr1A	3093066	3095267	-	2202	0
TraesCS1A02G005400	chr1A	3117194	3119378	+	2185	0
TraesCS1A02G005500	chr1A	3118502	3122276	-	3775	0
TraesCS1A02G005600	chr1A	3254618	3262577	-	7960	3
TraesCS1A02G005700	chr1A	3377838	3384699	+	6862	0
TraesCS1A02G005800	chr1A	3385287	3391808	-	6522	0
TraesCS1A02G005900	chr1A	3446931	3451200	+	4270	2
TraesCS1A02G006000	chr1A	3450854	3454772	-	3919	0
TraesCS1A02G006100	chr1A	3461554	3465581	-	4028	0
TraesCS1A02G006200	chr1A	3487355	3491814	-	4460	0
TraesCS1A02G006300	chr1A	3499137	3503929	-	4793	0
TraesCS1A02G006400	chr1A	3530339	3532796	-	2458	0
TraesCS1A02G006500	chr1A	3578010	3582502	-	4493	0
TraesCS1A02G006700	chr1A	3613659	3618613	-	4955	0
TraesCS1A02G006800	chr1A	3652512	3657388	-	4877	0
TraesCS1A02G006900	chr1A	3668097	3671050	-	2954	0
TraesCS1A02G007000	chr1A	3676964	3679612	-	2649	0
TraesCS1A02G007100	chr1A	3697525	3700965	-	3441	0
TraesCS1A02G007200	chr1A	3776339	3778238	+	1900	0
TraesCS1A02G007236	chr1A	3795056	3796948	+	1893	0
TraesCS1A02G007300	chr1A	3844783	3847150	-	2368	0
TraesCS1A02G007344	chr1A	3910395	3912267	+	1873	0
TraesCS1A02G007400	chr1A	4033339	4035196	+	1858	0
TraesCS1A02G007405	chr1A	4041324	4043181	+	1858	0
TraesCS1A02G007500	chr1A	4045713	4049684	+	3972	55
TraesCS1A02G007600	chr1A	4046966	4048290	-	1325	0
TraesCS1A02G007700	chr1A	4053221	4054742	+	1522	0
TraesCS1A02G007800	chr1A	4054742	4055960	+	1219	0
TraesCS1A02G007900	chr1A	4063197	4064406	+	1210	8
TraesCS1A02G007934	chr1A	4095724	4097825	+	2102	0
TraesCS1A02G008000	chr1A	4201212	4203588	-	2377	0
TraesCS1A02G008100	chr1A	4497200	4504419	+	7220	0
TraesCS1A02G008200	chr1A	4501605	4504697	-	3093	0
TraesCS1A02G008300	chr1A	4549622	4555906	+	6285	0
TraesCS1A02G008353	chr1A	4661621	4664924	+	3304	0
TraesCS1A02G008400	chr1A	4804101	4806663	+	2563	0
TraesCS1A02G008500	chr1A	4811264	4814128	+	2865	0
TraesCS1A02G008600	chr1A	5022873	5029289	-	6417	0
TraesCS1A02G008700	chr1A	5132497	5133754	+	1258	0
TraesCS1A02G008800	chr1A	5149710	5153197	-	3488	0
TraesCS1A02G008900	chr1A	5233610	5236545	+	2936	0
TraesCS1A02G009000	chr1A	5491027	5496112	+	5086	22
TraesCS1A02G009100	chr1A	5496528	5500650	+	4123	0
TraesCS1A02G009200	chr1A	5500650	5501535	+	886	0
TraesCS1A02G009300	chr1A	5501198	5507742	-	6545	0
TraesCS1A02G009320	chr1A	5520573	5527792	-	7220	0
TraesCS1A02G009400	chr1A	5644211	5650510	-	6300	0
TraesCS1A02G009500	chr1A	5871427	5875711	+	4285	0
TraesCS1A02G009600	chr1A	6006940	6012646	-	5707	0
TraesCS1A02G009700	chr1A	6021742	6023437	-	1696	0
TraesCS1A02G009900	chr1A	6151748	6160140	+	8393	0
TraesCS1A02G010000	chr1A	6222835	6224092	-	1258	0
TraesCS1A02G010100	chr1A	6292918	6294835	-	1918	0
TraesCS1A02G010200	chr1A	6317837	6325253	+	7417	1
TraesCS1A02G010300	chr1A	6332192	6337859	+	5668	0
TraesCS1A02G010400	chr1A	6335481	6345966	-	10486	0
TraesCS1A02G010500	chr1A	6421072	6423492	-	2421	0
TraesCS1A02G010600	chr1A	6437286	6439101	-	1816	0
TraesCS1A02G010700	chr1A	6471647	6475129	-	3483	0
TraesCS1A02G010800	chr1A	6496878	6500095	-	3218	0
TraesCS1A02G010900	chr1A	6517423	6519340	+	1918	0
TraesCS1A02G010905	chr1A	6561797	6563688	+	1892	0
TraesCS1A02G011100	chr1A	6566139	6568972	+	2834	0
TraesCS1A02G011200	chr1A	6568388	6576401	-	8014	0
TraesCS1A02G011300	chr1A	6653552	6655482	-	1931	0
TraesCS1A02G011400	chr1A	6759744	6764265	-	4522	0
TraesCS1A02G011500	chr1A	6764265	6765452	-	1188	0
TraesCS1A02G011600	chr1A	6765452	6766555	-	1104	0
TraesCS1A02G011700	chr1A	6772469	6773978	-	1510	0
TraesCS1A02G011800	chr1A	6788571	6794542	+	5972	0
TraesCS1A02G011900	chr1A	6882652	6887141	-	4490	0
TraesCS1A02G012000	chr1A	6898512	6903022	-	4511	0
TraesCS1A02G012100	chr1A	6913044	6915989	-	2946	0
TraesCS1A02G012200	chr1A	7099687	7101431	-	1745	0
TraesCS1A02G012300	chr1A	7107623	7109053	-	1431	0
TraesCS1A02G012400	chr1A	7109053	7115465	-	6413	0
TraesCS1A02G012500	chr1A	7178200	7185497	+	7298	7
TraesCS1A02G012600	chr1A	7185497	7187507	+	2011	0
TraesCS1A02G012700	chr1A	7227719	7229943	-	2225	0
TraesCS1A02G012800	chr1A	7274801	7276803	+	2003	0
TraesCS1A02G012900	chr1A	7276861	7280534	+	3674	0
TraesCS1A02G013000	chr1A	7281836	7295634	+	13799	0
TraesCS1A02G013100	chr1A	7311700	7313269	+	1570	0
TraesCS1A02G013200	chr1A	7315101	7326769	+	11669	0
TraesCS1A02G013300	chr1A	7521337	7522531	-	1195	0
TraesCS1A02G013400	chr1A	7524852	7526447	-	1596	0
TraesCS1A02G013500	chr1A	7536155	7537445	+	1291	0
TraesCS1A02G013600	chr1A	7642614	7644473	+	1860	0
TraesCS1A02G013700	chr1A	7650464	7654123	-	3660	0
TraesCS1A02G013800	chr1A	7656145	7669998	-	13854	24
TraesCS1A02G013900	chr1A	7674688	7677264	-	2577	0
TraesCS1A02G014000	chr1A	7684115	7685702	-	1588	0
TraesCS1A02G014100	chr1A	7696292	7698190	-	1899	0
TraesCS1A02G014200	chr1A	7776149	7778389	-	2241	0
TraesCS1A02G014300	chr1A	7811031	7814406	+	3376	0
TraesCS1A02G014400	chr1A	7830271	7831939	+	1669	0
TraesCS1A02G014500	chr1A	7834685	7838216	+	3532	0
TraesCS1A02G014700	chr1A	7956960	7958283	+	1324	0
TraesCS1A02G014800	chr1A	7962375	7964154	+	1780	0
TraesCS1A02G014900	chr1A	8140960	8144500	-	3541	0
TraesCS1A02G015000	chr1A	8156346	8159856	-	3511	0
TraesCS1A02G015100	chr1A	8237257	8239411	-	2155	0
TraesCS1A02G015200	chr1A	8239411	8244826	-	5416	0
TraesCS1A02G015300	chr1A	8247217	8252270	+	5054	4
TraesCS1A02G015378	chr1A	8260051	8262991	+	2941	0
TraesCS1A02G015400	chr1A	8263166	8266341	-	3176	2
TraesCS1A02G015500	chr1A	8290349	8292883	-	2535	0
TraesCS1A02G015600	chr1A	8295508	8298343	+	2836	0
TraesCS1A02G015700	chr1A	8311562	8314243	+	2682	0
TraesCS1A02G015800	chr1A	8320695	8323586	+	2892	0
TraesCS1A02G015900	chr1A	8325715	8330799	+	5085	0
TraesCS1A02G016000	chr1A	8331822	8335602	+	3781	0
TraesCS1A02G016100	chr1A	8341907	8345730	+	3824	0
TraesCS1A02G016203	chr1A	8610945	8615970	-	5026	0
TraesCS1A02G016200	chr1A	8627133	8633964	-	6832	0
TraesCS1A02G016300	chr1A	8665006	8670951	+	5946	0
TraesCS1A02G016400	chr1A	8714361	8719129	-	4769	0
TraesCS1A02G016500	chr1A	8732467	8733691	+	1225	0
TraesCS1A02G016600	chr1A	9089751	9093824	+	4074	0
TraesCS1A02G016800	chr1A	9102014	9104091	-	2078	0
TraesCS1A02G016900	chr1A	9104091	9110639	-	6549	6
TraesCS1A02G017000	chr1A	9119143	9124202	+	5060	0
TraesCS1A02G017100	chr1A	9125924	9126999	+	1076	0
TraesCS1A02G017200	chr1A	9126091	9129494	-	3404	0
TraesCS1A02G017300	chr1A	9156307	9158322	+	2016	0
TraesCS1A02G017400	chr1A	9194440	9196385	+	1946	0
TraesCS1A02G017500	chr1A	9203430	9206210	+	2781	0
TraesCS1A02G017600	chr1A	9218941	9221744	-	2804	0
TraesCS1A02G017700	chr1A	9231851	9236545	-	4695	0
TraesCS1A02G017800	chr1A	9340848	9345270	+	4423	0
TraesCS1A02G017900	chr1A	9354372	9357968	-	3597	20
TraesCS1A02G018000	chr1A	9359231	9364721	+	5491	4
TraesCS1A02G018100	chr1A	9368967	9375647	-	6681	0
TraesCS1A02G018200	chr1A	9468842	9470968	+	2127	0
TraesCS1A02G018300	chr1A	9476119	9478343	+	2225	8
TraesCS1A02G018400	chr1A	9543460	9549076	+	5617	0
TraesCS1A02G018500	chr1A	9548078	9552128	-	4051	0
TraesCS1A02G018600	chr1A	9553967	9557916	+	3950	0
TraesCS1A02G018700	chr1A	9560507	9563163	-	2657	0
TraesCS1A02G018800	chr1A	9571396	9575377	-	3982	0
TraesCS1A02G018900	chr1A	9578534	9583651	-	5118	0
TraesCS1A02G019000	chr1A	9585486	9589430	-	3945	131
TraesCS1A02G019100	chr1A	9596803	9600713	-	3911	0
TraesCS1A02G019200	chr1A	9641195	9644901	-	3707	25
TraesCS1A02G019300	chr1A	9663418	9665672	+	2255	0
TraesCS1A02G019400	chr1A	9762052	9765101	+	3050	0
TraesCS1A02G019500	chr1A	9772102	9774591	+	2490	0
TraesCS1A02G019600	chr1A	9786090	9788709	-	2620	0
TraesCS1A02G019700	chr1A	9855921	9859405	+	3485	0
TraesCS1A02G019800	chr1A	9939053	9942260	+	3208	0
TraesCS1A02G019900	chr1A	9968704	9973586	+	4883	0
TraesCS1A02G020000	chr1A	9979714	9981736	+	2023	0
TraesCS1A02G020100	chr1A	9984176	9986446	+	2271	0
TraesCS1A02G020153	chr1A	9992873	9994398	-	1526	0
TraesCS1A02G020200	chr1A	10003889	10007706	-	3818	0
TraesCS1A02G020300	chr1A	10046783	10050350	-	3568	0
TraesCS1A02G020400	chr1A	10050720	10058221	-	7502	0
TraesCS1A02G020500	chr1A	10066113	10069498	+	3386	249
TraesCS1A02G020600	chr1A	10069211	10072370	-	3160	0
TraesCS1A02G020700	chr1A	10074020	10086175	+	12156	0
TraesCS1A02G020800	chr1A	10126424	10129313	+	2890	0
TraesCS1A02G020900	chr1A	10132632	10134075	+	1444	0
TraesCS1A02G021000	chr1A	10135659	10137038	+	1380	0
TraesCS1A02G021100	chr1A	10150818	10153476	+	2659	0
TraesCS1A02G021200	chr1A	10154551	10160312	-	5762	0
TraesCS1A02G021300	chr1A	10172635	10174271	+	1637	0
TraesCS1A02G021400	chr1A	10209714	10211293	-	1580	0
TraesCS1A02G021500	chr1A	10226258	10241556	-	15299	0
TraesCS1A02G021600	chr1A	10422319	10424959	-	2641	0
TraesCS1A02G021700	chr1A	10468148	10475302	-	7155	0
TraesCS1A02G021800	chr1A	10480359	10491160	-	10802	0
TraesCS1A02G021900	chr1A	10497360	10500993	+	3634	0
TraesCS1A02G022000	chr1A	10601386	10607440	-	6055	0
TraesCS1A02G022100	chr1A	10696702	10697917	+	1216	0
TraesCS1A02G022200	chr1A	10709502	10710744	+	1243	0
TraesCS1A02G022300	chr1A	10714760	10715975	-	1216	0
TraesCS1A02G022400	chr1A	10748820	10752263	+	3444	0
TraesCS1A02G022500	chr1A	10968660	10972892	-	4233	1
TraesCS1A02G022600	chr1A	11024585	11025879	-	1295	0
TraesCS1A02G022700	chr1A	11228095	11231774	-	3680	0
TraesCS1A02G022800	chr1A	11240483	11243247	+	2765	0
TraesCS1A02G022900	chr1A	11388647	11391028	+	2382	0
TraesCS1A02G023000	chr1A	11417293	11423385	-	6093	0
TraesCS1A02G023100	chr1A	11423819	11426579	+	2761	0
TraesCS1A02G023205	chr1A	11524226	11528167	-	3942	0
TraesCS1A02G023200	chr1A	11530146	11532462	+	2317	0
TraesCS1A02G023300	chr1A	11554673	11557175	+	2503	0
TraesCS1A02G023400	chr1A	11564200	11573148	+	8949	0
TraesCS1A02G023500	chr1A	11577284	11586300	+	9017	0
TraesCS1A02G023600	chr1A	11621872	11635040	+	13169	0
TraesCS1A02G023700	chr1A	11642654	11644753	-	2100	2
TraesCS1A02G023800	chr1A	11661682	11666443	+	4762	5
TraesCS1A02G023900	chr1A	11670629	11673741	+	3113	0
TraesCS1A02G024000	chr1A	11728437	11731433	-	2997	0
TraesCS1A02G024100	chr1A	11811881	11816829	+	4949	0
TraesCS1A02G024200	chr1A	11818305	11825443	-	7139	0
TraesCS1A02G024300	chr1A	11894091	11896818	+	2728	0
TraesCS1A02G024400	chr1A	12001939	12006839	-	4901	0
TraesCS1A02G024500	chr1A	12089718	12094423	+	4706	0
TraesCS1A02G024600	chr1A	12096371	12098618	+	2248	0
TraesCS1A02G024700	chr1A	12098518	12103881	-	5364	0
TraesCS1A02G024800	chr1A	12109358	12110555	+	1198	0
TraesCS1A02G024900	chr1A	12129622	12130819	+	1198	0
TraesCS1A02G025000	chr1A	12138837	12140034	+	1198	0
TraesCS1A02G025100	chr1A	12140981	12144556	-	3576	0
TraesCS1A02G025200	chr1A	12156064	12161869	-	5806	0
TraesCS1A02G025300	chr1A	12169678	12170875	-	1198	0
TraesCS1A02G025400	chr1A	12183799	12185863	-	2065	0
TraesCS1A02G025500	chr1A	12206569	12216167	-	9599	0
TraesCS1A02G025600	chr1A	12302354	12311465	-	9112	0
TraesCS1A02G025700	chr1A	12311969	12318272	-	6304	0
TraesCS1A02G025800	chr1A	12355116	12357701	+	2586	0
TraesCS1A02G025900	chr1A	12363666	12370892	+	7227	12
TraesCS1A02G026000	chr1A	12371105	12373554	+	2450	0
TraesCS1A02G026100	chr1A	12403235	12405320	-	2086	0
TraesCS1A02G026200	chr1A	12502526	12508052	+	5527	0
TraesCS1A02G026300	chr1A	12566299	12573055	-	6757	0
TraesCS1A02G026400	chr1A	12584035	12592665	-	8631	0
TraesCS1A02G026500	chr1A	12639162	12641199	+	2038	0
TraesCS1A02G026600	chr1A	12669534	12670800	+	1267	0
TraesCS1A02G026700	chr1A	12684835	12686050	+	1216	0
TraesCS1A02G026800	chr1A	12697221	12698445	-	1225	0
TraesCS1A02G026900	chr1A	12733163	12739704	-	6542	0
TraesCS1A02G027000	chr1A	12768345	12795636	-	27292	0
TraesCS1A02G027100	chr1A	12858911	12863704	-	4794	0
TraesCS1A02G027200	chr1A	12915087	12918028	+	2942	0
TraesCS1A02G027300	chr1A	12918575	12921144	+	2570	0
TraesCS1A02G027400	chr1A	13002151	13006393	-	4243	0
TraesCS1A02G027500	chr1A	13006820	13009896	-	3077	0
TraesCS1A02G027600	chr1A	13081413	13087602	+	6190	0
TraesCS1A02G027700	chr1A	13212431	13215290	+	2860	0
TraesCS1A02G027800	chr1A	13228922	13231974	+	3053	0
TraesCS1A02G027900	chr1A	13256482	13258081	+	1600	0
TraesCS1A02G028000	chr1A	13272070	13274683	+	2614	0
TraesCS1A02G028100	chr1A	13277118	13278353	-	1236	0
TraesCS1A02G028200	chr1A	13280440	13281658	-	1219	0
TraesCS1A02G028300	chr1A	13283004	13293362	-	10359	0
TraesCS1A02G028400	chr1A	13312882	13320980	+	8099	0
TraesCS1A02G028500	chr1A	13346605	13353572	+	6968	0
TraesCS1A02G028600	chr1A	13412737	13419606	+	6870	0
TraesCS1A02G028700	chr1A	13452339	13459303	+	6965	0
TraesCS1A02G028900	chr1A	13569534	13576431	+	6898	0
TraesCS1A02G029000	chr1A	13581071	13582475	+	1405	0
TraesCS1A02G029100	chr1A	13663300	13668800	+	5501	0
TraesCS1A02G029200	chr1A	13668902	13676212	-	7311	0
TraesCS1A02G029300	chr1A	13762566	13769572	+	7007	7
TraesCS1A02G029400	chr1A	13772559	13776761	+	4203	0
TraesCS1A02G029500	chr1A	13805303	13808108	+	2806	0
TraesCS1A02G029600	chr1A	13830557	13832255	+	1699	0
TraesCS1A02G029700	chr1A	13853297	13859375	-	6079	0
TraesCS1A02G029800	chr1A	13860191	13862962	-	2772	0
TraesCS1A02G029900	chr1A	13971819	13977728	+	5910	0
TraesCS1A02G030000	chr1A	13979250	13981335	+	2086	0
TraesCS1A02G030100	chr1A	14045678	14057197	+	11520	5
TraesCS1A02G030200	chr1A	14061865	14065309	-	3445	0
TraesCS1A02G030300	chr1A	14074238	14077358	-	3121	0
TraesCS1A02G030400	chr1A	14107111	14110412	-	3302	0
TraesCS1A02G030500	chr1A	14139691	14144599	+	4909	0
TraesCS1A02G030600	chr1A	14142597	14145914	-	3318	7
TraesCS1A02G030700	chr1A	14160322	14164255	+	3934	0
TraesCS1A02G030900	chr1A	14252391	14257167	-	4777	0
TraesCS1A02G031000	chr1A	14429331	14431871	-	2541	0
TraesCS1A02G031100	chr1A	14467959	14470389	+	2431	0
TraesCS1A02G031200	chr1A	14504224	14508920	+	4697	22
TraesCS1A02G031300	chr1A	14519757	14525841	+	6085	0
TraesCS1A02G031400	chr1A	14525659	14528380	-	2722	0
TraesCS1A02G031500	chr1A	14549906	14551610	+	1705	0
TraesCS1A02G031600	chr1A	14577582	14580933	+	3352	0
TraesCS1A02G031700	chr1A	14584885	14588137	+	3253	0
TraesCS1A02G031800	chr1A	14588565	14594115	-	5551	0
TraesCS1A02G031900	chr1A	14602494	14615692	-	13199	0
TraesCS1A02G032000	chr1A	14743093	14748608	-	5516	0
TraesCS1A02G032100	chr1A	14789721	14791908	-	2188	0
TraesCS1A02G032200	chr1A	14798110	14800511	-	2402	0
TraesCS1A02G032300	chr1A	14837308	14839886	-	2579	0
TraesCS1A02G032400	chr1A	14856039	14858282	-	2244	0
TraesCS1A02G032500	chr1A	14988541	14989944	+	1404	0
TraesCS1A02G032600	chr1A	15186553	15189366	+	2814	0
TraesCS1A02G032700	chr1A	15190979	15196959	+	5981	0
TraesCS1A02G032800	chr1A	15324612	15327204	+	2593	0
TraesCS1A02G032900	chr1A	15342594	15348515	-	5922	0
TraesCS1A02G033000	chr1A	15430220	15438125	+	7906	4
TraesCS1A02G033100	chr1A	15437374	15441465	-	4092	23
TraesCS1A02G033200	chr1A	15516524	15519456	+	2933	0
TraesCS1A02G033288	chr1A	15922856	15925137	-	2282	0
TraesCS1A02G033300	chr1A	16038484	16041057	+	2574	0
TraesCS1A02G033400	chr1A	16225729	16227364	+	1636	0
TraesCS1A02G033501	chr1A	16373919	16376124	+	2206	0
TraesCS1A02G033500	chr1A	16388445	16392082	+	3638	0
TraesCS1A02G033600	chr1A	16407008	16411201	+	4194	0
TraesCS1A02G033700	chr1A	16425345	16429037	+	3693	0
TraesCS1A02G033800	chr1A	16432376	16437883	+	5508	0
TraesCS1A02G033900	chr1A	16444769	16446476	-	1708	0
TraesCS1A02G034000	chr1A	16838175	16840176	+	2002	0
TraesCS1A02G034100	chr1A	16913591	16920361	+	6771	0
TraesCS1A02G034200	chr1A	16923974	16925261	-	1288	0
TraesCS1A02G034300	chr1A	16930434	16934477	-	4044	0
TraesCS1A02G034400	chr1A	17139741	17142193	-	2453	0
TraesCS1A02G034500	chr1A	17239466	17244131	+	4666	0
TraesCS1A02G034600	chr1A	17245750	17248420	-	2671	0
TraesCS1A02G034700	chr1A	17256516	17258211	-	1696	0
TraesCS1A02G034800	chr1A	17866870	17868462	-	1593	0
TraesCS1A02G034900	chr1A	18083260	18087458	-	4199	0
TraesCS1A02G035000	chr1A	18288937	18293936	-	5000	0
TraesCS1A02G035100	chr1A	18310849	18313699	+	2851	0
TraesCS1A02G035200	chr1A	18459513	18462491	-	2979	0
TraesCS1A02G035300	chr1A	18485339	18489620	-	4282	0
TraesCS1A02G035400	chr1A	18492615	18494853	-	2239	0
TraesCS1A02G035500	chr1A	18988913	18994414	-	5502	0
TraesCS1A02G035600	chr1A	19061157	19063423	-	2267	3
TraesCS1A02G035700	chr1A	19891661	19895297	+	3637	0
TraesCS1A02G035800	chr1A	19894572	19897721	-	3150	84
TraesCS1A02G035900	chr1A	19928936	19933705	-	4770	0
TraesCS1A02G036000	chr1A	20027172	20031117	-	3946	0
TraesCS1A02G036100	chr1A	20091099	20095848	+	4750	8
TraesCS1A02G036200	chr1A	20156565	20159534	+	2970	0
TraesCS1A02G036300	chr1A	20179711	20184942	+	5232	0
TraesCS1A02G036400	chr1A	20235597	20238197	-	2601	0
TraesCS1A02G036500	chr1A	20243457	20246289	-	2833	0
TraesCS1A02G036600	chr1A	20370800	20371919	-	1120	0
TraesCS1A02G036700	chr1A	20414992	20419223	-	4232	0
TraesCS1A02G036800	chr1A	20434465	20438173	+	3709	0
TraesCS1A02G036900	chr1A	20842533	20843862	+	1330	0
TraesCS1A02G037000	chr1A	20865534	20868378	+	2845	0
TraesCS1A02G037100	chr1A	20871419	20873501	-	2083	0
TraesCS1A02G037200	chr1A	20878444	20880129	-	1686	0
TraesCS1A02G037300	chr1A	20887601	20889881	-	2281	0
TraesCS1A02G037400	chr1A	20892785	20898393	-	5609	14
TraesCS1A02G037500	chr1A	20912437	20914089	-	1653	0
TraesCS1A02G037600	chr1A	20916920	20919534	-	2615	0
TraesCS1A02G037700	chr1A	20923887	20932614	-	8728	0
TraesCS1A02G037800	chr1A	20935423	20939081	+	3659	0
TraesCS1A02G037900	chr1A	20976276	20980680	-	4405	9
TraesCS1A02G038000	chr1A	20988266	20991207	-	2942	0
TraesCS1A02G038100	chr1A	20998069	20999918	+	1850	0
TraesCS1A02G038200	chr1A	21022731	21024515	+	1785	0
TraesCS1A02G038300	chr1A	21023627	21026280	-	2654	0
TraesCS1A02G038400	chr1A	21034869	21050127	+	15259	0
TraesCS1A02G038500	chr1A	21065629	21068678	+	3050	0
TraesCS1A02G038600	chr1A	21075169	21081368	+	6200	0
TraesCS1A02G038800	chr1A	21084585	21085875	-	1291	0
TraesCS1A02G038828	chr1A	21105738	21110546	+	4809	0
TraesCS1A02G039000	chr1A	21277609	21279405	-	1797	0
TraesCS1A02G039100	chr1A	21280532	21285458	-	4927	0
TraesCS1A02G039200	chr1A	21322246	21336307	+	14062	0
TraesCS1A02G039300	chr1A	21399354	21406196	-	6843	0
TraesCS1A02G039400	chr1A	21618184	21627991	+	9808	0
TraesCS1A02G039600	chr1A	21713451	21714793	-	1343	0
TraesCS1A02G039700	chr1A	21828731	21832587	-	3857	0
TraesCS1A02G039800	chr1A	21984330	21987056	-	2727	0
TraesCS1A02G039900	chr1A	22037188	22047331	-	10144	0
TraesCS1A02G040000	chr1A	22055422	22057147	+	1726	0
TraesCS1A02G040100	chr1A	22073137	22076882	-	3746	0
TraesCS1A02G040200	chr1A	22270358	22271960	-	1603	0
TraesCS1A02G040300	chr1A	22281323	22283710	-	2388	0
TraesCS1A02G040400	chr1A	22286727	22291553	-	4827	0
TraesCS1A02G040500	chr1A	22291726	22294776	+	3051	19
TraesCS1A02G040600	chr1A	22293835	22301515	-	7681	53
TraesCS1A02G040700	chr1A	22328072	22332422	-	4351	0
TraesCS1A02G040800	chr1A	22342219	22343440	+	1222	0
TraesCS1A02G040900	chr1A	22534635	22537459	+	2825	0
TraesCS1A02G041000	chr1A	22561344	22562535	+	1192	0
TraesCS1A02G041100	chr1A	22611227	22614080	-	2854	0
