CARHR207710	AT5G05550
CARHR102070	AT2G04160
CARHR207930	AT5G05310
CARHR113830	AT2G22610
CARHR034560	AT1G35720
CARHR191730	AT5G21140
CARHR278090	AT5G64180
CARHR171930	AT3G61620
CARHR230770	AT4G23440
CARHR291840	AT5G38470
CARHR239030	AT4G31120
CARHR257400	AT5G50850
CARHR014180	AT1G13790
CARHR087150	AT3G12640
CARHR130100	AT2G35840
CARHR271410	AT5G57655
CARHR181020	AT5G43000
CARHR142670	AT2G47270
CARHR043280	AT1G53050
CARHR237870	AT4G29950
CARHR265320	AT5G52360
CARHR234880	AT4G27240
CARHR031420	AT1G32070
CARHR015850	AT1G15320
CARHR279700	AT5G65710
CARHR035740	AT1G43900
CARHR142850	AT2G47460
CARHR083310	AT3G08970
CARHR143100	AT2G47710
CARHR201570	AT5G11650
CARHR180450	AT5G42210
CARHR205630	AT5G07500
CARHR195760	AT5G17450
CARHR021640	AT1G21190
CARHR207160	AT5G06400
CARHR091820	AT3G16590
CARHR136720	AT2G41630
CARHR280090	AT5G67500
CARHR136890	AT2G41810
CARHR214890	AT5G37850
CARHR260080	AT4G09020
CARHR123680	AT2G30360
CARHR194380	AT1G33680
CARHR292490	AT3G28470
CARHR018370	AT1G17760
CARHR011130	AT1G10910
CARHR209930	AT5G03415
CARHR014320	AT1G13950
CARHR138940	AT2G43770
CARHR130550	AT2G36290
CARHR006650	AT1G06980
CARHR167830	AT3G56890
CARHR027760	AT1G28270
CARHR111880	AT2G21045
CARHR023170	AT1G22810
CARHR076710	AT3G02710
CARHR283010	ATMG00650
CARHR186110	AT5G27550
CARHR207210	AT5G05987
CARHR017980	AT1G17380
CARHR079000	AT3G04750
CARHR275840	AT5G62050
CARHR230410	AT4G23200
CARHR025940	AT1G25520
CARHR158500	AT3G49500
CARHR232800	AT4G25390
CARHR029610	AT1G29820
CARHR015580	AT1G15040
CARHR208890	AT5G04420
CARHR158850	AT3G49760
CARHR067570	AT1G74310
CARHR013860	AT1G13510
CARHR274030	AT5G60360
CARHR136090	AT2G40980
CARHR136170	AT2G41060
CARHR078710	AT3G04520
CARHR023470	AT1G23090
CARHR077060	AT3G03050
CARHR156140	AT3G47500
CARHR227310	AT4G20770
CARHR006220	AT1G06640
CARHR251090	AT4G02750
CARHR253960	AT4G12290
CARHR022220	AT1G21870
CARHR205370	AT5G07810
CARHR267980	AT5G54670
CARHR228920	AT4G22115
CARHR178150	AT5G44750
CARHR111080	AT2G20530
CARHR082060	AT3G07420
CARHR258000	AT5G53640
CARHR190060	AT5G23450
CARHR214350	AT5G38260
CARHR189680	AT5G23880
CARHR108560	AT2G18080
CARHR146820	AT3G25860
CARHR016060	AT1G15500
CARHR226440	AT4G19640
CARHR264050	AT5G38730
CARHR215350	AT5G37550
CARHR054820	AT1G56690
CARHR195540	AT5G17640
CARHR001350	AT1G01110
CARHR174070	AT5G47320
CARHR116270	AT2G25270
CARHR042080	AT1G51930
CARHR046700	AT1G64230
CARHR272140	AT5G58330
CARHR239840	AT4G31920
CARHR194960	AT5G18110
CARHR157410	AT3G48660
CARHR067310	AT1G74160
CARHR257590	AT5G50740
CARHR195170	AT5G17930
CARHR236920	AT4G29190
CARHR210180	AT5G03170
CARHR003260	AT1G03920
CARHR048620	AT1G63020
CARHR244310	AT4G35910
CARHR094250	AT3G18830
CARHR171750	AT3G61410
CARHR270120	AT1G32280
CARHR200110	AT5G13330
CARHR129680	AT2G35510
CARHR108620	AT2G18130
CARHR088770	AT3G13960
CARHR090780	AT3G15690
CARHR090410	AT3G15370
CARHR197040	AT5G16270
CARHR211320	AT5G02040
CARHR015320	AT1G14780
CARHR275580	AT5G61820
CARHR054790	AT1G56720
CARHR044700	AT1G55110
CARHR132170	AT2G37420
CARHR278870	AT5G64860
CARHR042880	AT1G52740
CARHR106170	AT2G15790
CARHR187640	AT5G25770
CARHR219520	AT4G13730
CARHR220150	AT4G14130
CARHR206050	AT5G07090
CARHR222950	AT4G16530
CARHR049390	AT1G62600
CARHR042660	AT1G52550
CARHR046560	AT1G64380
CARHR025610	AT1G26310
CARHR154760	AT3G46290
CARHR133730	AT2G38970
CARHR097500	AT3G21550
CARHR120650	AT2G27940
CARHR210980	AT5G02430
CARHR264610	AT5G51750
CARHR210450	AT5G02870
CARHR236820	AT4G29080
CARHR062660	AT1G69670
CARHR021110	AT1G20650
CARHR045030	AT1G55365
CARHR204270	AT1G50980
CARHR078840	AT3G04630
CARHR283790	AT1G59600
CARHR066950	AT1G73850
CARHR260500	AT4G09640
CARHR022700	AT1G22330
CARHR211390	AT5G01070
CARHR195030	AT5G18030
CARHR072410	AT1G78830
CARHR076970	AT3G02940
CARHR218090	AT4G12770
CARHR193350	AT5G19550
CARHR281710	AT5G66050
CARHR092720	AT3G17620
CARHR016140	AT1G15610
CARHR240200	AT4G32295
CARHR036460	AT1G45474
CARHR026140	AT1G25350
CARHR193260	AT5G19650
CARHR165400	AT3G55390
CARHR187390	AT5G26110
CARHR073090	AT1G79430
CARHR134020	AT2G39270
CARHR231100	AT4G23710
CARHR106180	AT2G15820
CARHR214640	AT5G38100
CARHR192530	AT5G20300
CARHR223740	AT4G17170
CARHR166170	AT3G56090
CARHR074820	AT1G80420
CARHR159060	AT3G49990
CARHR150080	AT3G45560
CARHR287360	AT3G43590
CARHR016210	AT1G15730
CARHR019240	AT1G18620
CARHR226720	AT4G19960
CARHR185460	AT5G29000
CARHR016740	AT1G16270
CARHR211850	AT5G01490
CARHR211580	AT5G01240
CARHR007580	AT1G07750
CARHR034820	AT4G31500
CARHR190800	AT2G32470
CARHR254710	AT4G11660
CARHR170400	AT3G60090
CARHR132540	AT2G37980
CARHR012050	AT1G11740
CARHR004850	AT1G05350
CARHR092300	AT2G18790
CARHR203130	AT5G10160
CARHR110020	AT2G19580
CARHR049930	AT1G62200
CARHR259060	AT5G49720
CARHR161230	AT3G51630
CARHR077590	AT3G03580
CARHR238990	AT4G31080
CARHR199400	AT5G13990
CARHR191060	AT5G22470
CARHR006980	AT1G07260
CARHR245800	AT4G37420
CARHR245030	AT4G36690
CARHR193000	AT5G19860
CARHR216670	AT5G35980
CARHR060070	AT1G78960
CARHR197850	AT5G15470
CARHR220120	AT4G14090
CARHR202840	AT5G10450
CARHR280390	AT5G67240
CARHR252710	AT4G04860
CARHR166710	AT3G56600
CARHR095270	AT3G19760
CARHR166150	AT3G56080
CARHR156090	AT3G47450
CARHR218630	AT4G13160
CARHR273960	AT5G60280
CARHR124150	AT2G30660
CARHR221940	AT4G15215
CARHR099010	AT3G23100
CARHR020640	AT1G20135
CARHR104530	AT3G44340
CARHR079320	AT4G08630
CARHR184280	AT5G48030
CARHR040620	AT1G50590
CARHR204180	AT5G09250
CARHR159150	AT3G50080
CARHR246680	AT4G40000
CARHR195950	AT5G17260
CARHR083790	AT3G09400
CARHR199050	AT5G14280
CARHR051540	AT1G61140
CARHR055040	AT1G56500
CARHR151930	AT3G28910
CARHR095610	AT3G20100
CARHR173270	AT3G62980
CARHR008060	AT1G08230
CARHR006180	AT1G06570
CARHR047930	AT1G63420
CARHR195040	AT5G18020
CARHR216580	AT5G36160
CARHR119420	AT2G27090
CARHR140760	AT2G45570
CARHR119390	AT2G27060
CARHR080130	AT3G05680
CARHR190700	AT5G22860
CARHR016320	AT1G15810
CARHR265900	AT5G52910
CARHR194440	AT5G18580
CARHR141410	AT2G46130
CARHR030870	AT5G42430
CARHR141140	AT2G45870
CARHR030300	AT1G30825
CARHR207230	AT5G05980
CARHR168290	AT3G57980
CARHR128650	AT2G34560
CARHR204990	AT5G08190
CARHR135700	AT2G40560
CARHR124370	AT2G30890
CARHR020390	AT1G19900
CARHR020460	AT1G19970
CARHR017160	AT1G16700
CARHR280110	AT5G67480
CARHR135250	AT2G40220
CARHR186930	AT5G26700
CARHR127930	AT2G33810
CARHR115990	AT2G25460
CARHR001510	AT3G04430
CARHR131010	AT2G36710
CARHR200830	AT5G12270
CARHR031650	AT1G32270
CARHR208570	AT5G04720
CARHR202260	AT5G11030
CARHR240230	AT4G32330
CARHR070010	AT1G76450
CARHR069200	AT1G75780
CARHR010740	AT1G10580
CARHR100810	AT3G24580
CARHR222260	AT4G15490
CARHR064630	AT1G71350
CARHR222760	AT4G16390
CARHR192600	AT5G20230
CARHR199870	AT5G13570
CARHR288540	AT3G25680
CARHR102610	AT2G04650
CARHR162450	AT3G52630
CARHR011830	AT1G11545
CARHR014840	AT1G14400
CARHR153160	AT3G29760
CARHR034170	AT1G35340
CARHR018560	AT1G17940
CARHR014660	AT1G14230
CARHR138530	AT2G43460
CARHR195370	AT5G17800
CARHR138490	AT2G43410
CARHR228450	AT4G21720
CARHR093240	AT3G17910
CARHR086220	AT3G11670
CARHR005520	AT1G06000
CARHR146670	AT3G25770
CARHR258820	AT5G49900
CARHR227180	AT4G20360
CARHR065540	AT1G72620
CARHR212770	AT5G41800
CARHR105660	AT2G15290
CARHR142990	AT2G47590
CARHR212600	AT5G41960
CARHR035880	AT2G14060
CARHR013090	AT1G12780
CARHR164850	AT3G54870
CARHR101960	AT2G39310
CARHR125680	AT2G31953
CARHR238680	AT4G30830
CARHR003850	AT1G04510
CARHR064490	AT1G71170
CARHR009400	AT1G09430
CARHR128890	AT2G34730
CARHR256720	AT5G56010
CARHR056530	AT1G65040
CARHR064940	AT1G72125
CARHR176000	AT5G45930
CARHR056240	AT1G64820
CARHR052890	AT1G60060
CARHR038080	AT1G48450
CARHR246230	AT4G37840
CARHR145540	AT2G03210
CARHR094880	AT3G19450
CARHR172040	AT2G25410
CARHR163490	AT3G53580
CARHR214180	AT1G52650
CARHR238400	AT4G30510
CARHR057110	AT1G65450
CARHR226390	AT4G19600
CARHR276600	AT5G62820
CARHR172590	AT3G62260
CARHR095490	AT3G19960
CARHR001180	AT1G01290
CARHR112510	AT4G26870
CARHR230080	AT4G23020
CARHR267330	AT5G54140
CARHR122430	AT2G29130
CARHR272770	AT5G58840
CARHR015250	AT1G14720
CARHR239990	AT4G32080
CARHR240290	AT4G32375
CARHR238530	AT4G30650
CARHR264970	AT5G52030
CARHR026700	AT1G24430
CARHR200460	AT5G13000
CARHR024390	AT1G24100
CARHR147810	AT3G26744
CARHR145170	AT2G02740
CARHR060440	AT1G67810
CARHR172630	AT3G62290
CARHR143820	AT2G01290
CARHR091610	AT3G16400
CARHR157500	AT3G48750
CARHR091340	AT3G16175
CARHR078270	AT3G04140
CARHR227690	AT4G21105
CARHR114640	AT2G23690
CARHR148760	AT3G27415
CARHR118110	AT2G24170
CARHR071630	AT1G78170
CARHR219070	AT4G13430
CARHR156670	AT3G47950
CARHR148830	AT3G27460
CARHR076360	AT3G02380
CARHR246380	AT4G37970
CARHR035550	AT1G43710
CARHR035220	AT1G42960
CARHR206710	AT5G06480
CARHR276460	AT5G62650
CARHR135150	AT2G40140
CARHR282630	ATMG00090
CARHR015130	AT1G14630
CARHR170980	AT2G23830
CARHR168240	AT3G57940
CARHR224340	AT4G17616
CARHR093610	AT3G18260
CARHR070900	AT1G77410
CARHR004690	AT1G05210
CARHR168380	AT3G58060
CARHR291040	AT1G71750
CARHR187330	AT5G26050
CARHR259660	AT4G08690
CARHR259340	AT4G08240
CARHR182130	AT5G49400
CARHR032680	AT1G48660
CARHR000580	AT1G01740
CARHR008200	AT1G08315
CARHR008750	AT1G08830
CARHR130050	AT2G35795
CARHR028220	AT1G29025
CARHR023280	AT5G42500
CARHR028730	AT1G29400
CARHR002720	AT1G03350
CARHR018740	AT1G18170
CARHR178360	AT5G44590
CARHR257090	AT5G51040
CARHR171230	AT3G60840
CARHR190210	AT5G23330
CARHR079630	AT3G05290
CARHR101140	AT3G24790
CARHR007000	AT1G07280
CARHR076500	AT3G02500
CARHR012870	AT1G12600
CARHR068790	AT1G75410
CARHR134820	AT2G39900
CARHR004070	AT1G04690
CARHR109800	AT2G19350
CARHR090300	AT3G15340
CARHR179940	AT5G43670
CARHR052630	AT1G60420
CARHR259520	AT4G08460
CARHR194180	AT5G18820
CARHR226600	AT4G19830
CARHR258290	AT5G50290
CARHR067140	AT1G74000
CARHR090650	AT3G15570
CARHR219920	AT4G13970
CARHR197240	AT5G16070
CARHR280400	AT5G67230
CARHR123740	AT2G30390
CARHR274340	AT5G60660
CARHR216730	AT5G35910
CARHR254850	AT4G11560
CARHR209540	AT5G03760
CARHR262390	AT5G39840
CARHR088900	AT3G14060
CARHR202790	AT5G10500
CARHR178090	AT5G44785
CARHR209890	AT5G03450
CARHR278460	AT5G64500
CARHR203720	AT5G09670
CARHR170360	AT3G60050
CARHR015060	AT1G14560
CARHR007910	AT1G08090
CARHR242460	AT4G34320
CARHR293910	AT4G38150
CARHR106580	AT2G16365
CARHR110610	AT2G20100
CARHR054670	AT1G57610
CARHR077360	AT3G03320
CARHR161530	AT3G51895
CARHR201980	AT5G11280
CARHR222080	AT4G15396
CARHR259290	AT5G48120
CARHR046910	AT1G64040
CARHR032020	AT1G32580
CARHR089360	AT3G14415
CARHR294180	AT4G38460
CARHR143310	AT2G47920
CARHR147670	AT1G65370
CARHR261310	AT5G40645
CARHR098730	AT3G22845
CARHR023860	AT1G23420
CARHR113340	AT2G22180
CARHR189540	AT5G24030
CARHR107360	AT2G17033
CARHR169040	AT3G58650
CARHR082470	AT3G07760
CARHR101450	AT3G25130
CARHR027150	AT1G27660
CARHR144890	AT2G02230
CARHR001370	AT1G01090
CARHR121420	AT2G28470
CARHR254610	AT4G11740
CARHR186700	AT5G26830
CARHR186250	AT5G27730
CARHR243990	AT4G35650
CARHR103000	AT2G05100
CARHR237270	AT4G29450
CARHR095440	AT3G19910
CARHR110920	AT2G20400
CARHR278600	AT5G64630
CARHR036850	AT1G47278
CARHR159950	AT3G50440
CARHR203850	AT5G09540
CARHR187070	AT5G26330
CARHR127110	AT2G33120
CARHR025130	AT1G26800
CARHR151540	AT3G44610
CARHR265750	AT5G52820
CARHR247630	AT4G39120
CARHR093870	AT3G18500
CARHR127440	AT2G33430
CARHR235810	AT4G28088
CARHR136280	AT2G41190
CARHR025420	AT1G26550
CARHR006750	AT1G07060
CARHR231820	AT4G24430
CARHR152160	AT2G46740
CARHR152530	AT3G43110
CARHR261040	AT4G10040
CARHR131830	AT2G37700
CARHR013650	AT1G13270
CARHR123350	AT2G30050
CARHR099690	AT3G22350
CARHR011240	AT1G11050
CARHR252670	AT4G04885
CARHR008970	AT1G09080
CARHR200580	AT5G12870
CARHR063780	AT1G70570
CARHR225240	AT4G18422
CARHR236670	AT4G28890
CARHR116020	AT2G25430
CARHR066230	AT1G73220
CARHR020110	AT1G19540
CARHR082210	AT3G07540
CARHR187780	AT5G25590
CARHR016020	AT1G15470
CARHR190290	AT5G23250
CARHR243440	AT4G35130
CARHR151320	AT3G58200
CARHR160910	AT3G51325
CARHR201710	AT5G11510
CARHR272580	AT5G58670
CARHR155590	AT3G46960
CARHR223480	AT4G16845
CARHR017370	AT1G16900
CARHR274780	AT5G61090
CARHR165360	AT3G55350
CARHR006530	AT1G06840
CARHR288050	AT4G19510
CARHR128580	AT2G34490
CARHR290080	AT4G15680
CARHR161390	AT3G51760
CARHR238520	AT4G30640
CARHR202450	AT5G10830
CARHR119090	AT2G26920
CARHR200890	AT5G12230
CARHR247940	AT4G38790
CARHR251990	AT4G03560
CARHR208380	AT5G04890
CARHR210840	AT5G02520
CARHR133880	AT2G39110
CARHR041490	AT1G50790
CARHR085080	AT3G10550
CARHR166540	AT3G56410
CARHR200630	AT5G12470
CARHR011790	AT1G11510
CARHR192030	AT3G22770
CARHR276290	AT5G62500
CARHR088010	AT3G13400
CARHR240980	AT4G32960
CARHR111520	AT2G20820
CARHR252940	AT4G04610
CARHR131790	AT2G37740
CARHR098550	AT3G22670
CARHR197020	AT5G16290
CARHR226980	AT4G20150
CARHR204350	AT5G08630
CARHR090990	AT3G15880
CARHR044510	AT1G54160
CARHR262460	AT5G39760
CARHR040010	AT1G49975
CARHR104980	AT2G11810
CARHR100600	AT3G24495
CARHR044040	AT1G53730
CARHR242230	AT4G34110
CARHR055180	AT1G56430
CARHR196990	AT5G16320
CARHR242540	AT4G34250
CARHR193740	AT5G19220
CARHR174330	AT5G47070
CARHR119890	AT3G57170
CARHR275380	AT5G61590
CARHR047890	AT1G63470
CARHR096930	AT3G21100
CARHR264400	AT5G51600
CARHR202670	AT5G10630
CARHR238050	AT4G30150
CARHR246430	AT4G38020
CARHR120460	AT2G27760
CARHR021700	AT1G21310
CARHR114340	AT2G23180
CARHR021250	AT1G20823
CARHR282730	ATMG00270
CARHR041720	AT1G51570
CARHR222680	AT4G16310
CARHR244690	AT4G36350
CARHR025020	AT1G26920
CARHR016680	AT1G16210
CARHR266580	AT5G53460
CARHR050550	AT1G61790
CARHR050000	AT1G62110
CARHR084130	AT3G09710
CARHR090190	AT3G15200
CARHR121840	AT2G28710
CARHR248140	AT4G00100
CARHR128530	AT2G34440
CARHR131690	AT2G37180
CARHR216690	AT5G35960
CARHR155190	AT3G46620
CARHR065040	AT1G72180
CARHR036140	AT1G44910
CARHR075850	AT3G01190
CARHR233750	AT4G26220
CARHR275660	AT5G61910
CARHR208960	AT5G04320
CARHR289480	AT3G58680
CARHR125160	AT2G31510
CARHR047760	AT1G63590
CARHR085620	AT3G11040
CARHR033840	AT1G34380
CARHR060270	AT1G67680
CARHR033510	AT1G34040
CARHR037810	AT1G48170
CARHR134620	AT2G39760
CARHR229620	AT4G22690
CARHR126350	AT2G32520
CARHR229190	AT4G22290
CARHR156660	AT3G47940
CARHR260210	AT4G09150
CARHR181040	AT5G42980
CARHR148300	AT3G27080
CARHR199920	AT5G13520
CARHR091110	AT3G15980
CARHR016970	AT1G16500
CARHR148590	AT3G27310
CARHR128270	AT2G34180
CARHR100970	AT3G24650
CARHR132750	AT2G38152
CARHR128790	AT2G34670
CARHR030790	AT1G31330
CARHR123030	AT2G29690
CARHR165660	AT3G55605
CARHR167630	AT3G57430
CARHR012260	AT1G11920
CARHR195560	AT5G17620
CARHR167140	AT3G56990
CARHR065950	AT1G72980
CARHR061270	AT1G68490
CARHR055450	AT1G54380
CARHR135390	AT1G43080
CARHR261590	AT5G40420
CARHR065220	AT1G72320
CARHR017080	AT1G16610
CARHR070220	AT1G76660
CARHR215480	AT5G37478
CARHR275080	AT5G61320
CARHR195490	AT5G17690
CARHR056180	AT5G63930
CARHR229990	AT4G22950
CARHR208330	AT5G04930
CARHR259850	AT4G08900
CARHR069010	AT1G75620
CARHR010530	AT1G10390
CARHR193810	AT5G19140
CARHR130280	AT2G36020
CARHR162660	AT3G52780
CARHR217530	AT1G67170
CARHR113580	AT2G22370
CARHR294330	AT4G38600
CARHR279450	AT5G65470
CARHR028500	AT1G29195
CARHR280560	AT5G67090
CARHR062300	AT1G69420
CARHR184490	AT5G42220
CARHR002530	AT1G03190
CARHR018970	AT1G18370
CARHR075270	AT3G01650
CARHR139130	AT2G43950
CARHR124740	AT2G31140
CARHR271380	AT5G57620
CARHR080550	AT3G06050
CARHR206600	AT5G06600
CARHR173040	AT3G62770
CARHR149170	AT3G27700
CARHR033230	AT1G33870
CARHR097240	AT3G21320
CARHR212340	AT5G01990
CARHR254060	AT4G12120
CARHR055230	AT1G56420
CARHR031220	AT1G31880
CARHR056980	AT1G65295
CARHR176270	AT5G45700
CARHR172930	AT3G62660
CARHR239170	AT4G31300
CARHR213430	AT5G40950
CARHR266120	AT5G53100
CARHR089620	AT3G14660
CARHR089990	AT3G15030
CARHR281670	AT5G66080
CARHR133550	AT2G38823
CARHR207910	AT5G05340
CARHR123910	AT2G30470
CARHR191710	AT5G21160
CARHR063250	AT1G70180
CARHR199200	AT5G14140
CARHR171910	AT3G61600
CARHR034540	AT1G35710
CARHR133390	AT2G38700
CARHR087170	AT3G12660
CARHR063520	AT1G70340
CARHR248770	AT4G00620
CARHR057580	AT1G65720
CARHR274760	AT5G61060
CARHR135930	AT2G40815
CARHR061900	AT1G69030
CARHR043730	AT1G53500
CARHR082340	AT3G07640
CARHR083660	AT3G09300
CARHR141270	AT2G46000
CARHR035760	AT1G44000
CARHR142830	AT2G47440
CARHR070730	AT1G77260
CARHR013130	AT1G12810
CARHR185810	AT5G27210
CARHR139820	AT2G44600
CARHR029900	AT1G30490
CARHR136870	AT2G41790
CARHR201510	AT5G11710
CARHR032230	AT1G32900
CARHR089190	AT3G14260
CARHR139300	AT2G44140
CARHR078480	AT3G04300
CARHR014020	AT1G13640
CARHR169670	AT3G59290
CARHR071170	AT1G77670
CARHR227480	AT4G20920
CARHR023670	AT1G23210
CARHR018350	AT1G17745
CARHR186560	AT5G26980
CARHR185120	AT5G28470
CARHR163530	AT3G53600
CARHR087220	AT3G12700
CARHR014300	AT1G13930
CARHR027700	AT1G28210
CARHR017960	AT1G17360
CARHR079020	AT3G04770
CARHR291400	AT3G45140
CARHR186130	AT5G27600
CARHR190100	AT5G23400
CARHR025960	AT1G25500
CARHR076770	AT3G02760
CARHR283030	ATMG00670
CARHR220680	AT4G14465
CARHR229700	AT4G22756
CARHR009610	AT1G09640
CARHR228400	AT4G21680
CARHR239930	AT4G32030
CARHR029630	AT1G30240
CARHR164620	AT3G54700
CARHR009340	AT1G09380
CARHR292560	AT3G28420
CARHR078730	AT3G04560
CARHR023490	AT1G23110
CARHR067080	AT1G73965
CARHR021780	AT1G21390
CARHR169900	AT3G59520
CARHR257280	AT5G50950
CARHR003060	AT1G03730
CARHR169450	AT3G59040
CARHR111060	AT2G20515
CARHR082040	AT3G07400
CARHR088570	AT3G13800
CARHR043130	AT1G52920
CARHR228900	AT4G22100
CARHR108540	AT2G18050
CARHR283150	ATMG00890
CARHR129060	AT2G34910
CARHR094530	AT3G19100
CARHR241570	AT4G33490
CARHR233060	AT4G25640
CARHR146800	AT3G25855
CARHR230690	AT4G23340
CARHR079280	AT3G04970
CARHR276810	AT5G63000
CARHR054800	AT1G56710
CARHR068650	AT4G31520
CARHR068300	AT1G74990
CARHR135360	AT2G40290
CARHR232040	AT4G24660
CARHR116250	AT2G25290
CARHR093260	AT3G17930
CARHR238570	AT4G30690
CARHR188580	AT5G24870
CARHR106800	AT2G16595
CARHR127770	AT2G33750
CARHR143120	AT2G47750
CARHR205870	AT5G07280
CARHR046760	AT1G64180
CARHR205650	AT5G07480
CARHR041260	AT1G02980
CARHR048600	AT1G63030
CARHR045230	AT1G55540
CARHR194900	AT5G18160
CARHR210610	AT5G02770
CARHR209370	AT5G03890
CARHR169490	AT3G59070
CARHR226460	AT4G19650
CARHR290520	AT4G15940
CARHR045580	AT1G55880
CARHR171770	AT3G61430
CARHR270140	AT5G56500
CARHR185700	AT5G27970
CARHR126630	AT2G32740
CARHR265460	AT5G52470
CARHR198480	AT5G14870
CARHR088710	AT3G13900
CARHR076190	AT3G02220
CARHR084910	AT3G10420
CARHR171240	AT3G60850
CARHR278850	AT5G64840
CARHR012460	AT1G12100
CARHR220840	AT5G25030
CARHR132110	AT2G37500
CARHR224810	AT4G18040
CARHR230700	AT4G23360
CARHR009960	AT1G09900
CARHR073870	AT1G80650
CARHR077820	AT3G03760
CARHR106110	AT2G15770
CARHR180940	AT5G43060
CARHR073700	AT1G80780
CARHR042600	AT1G52500
CARHR291670	AT3G63280
CARHR235310	AT4G27610
CARHR000390	AT1G01960
CARHR235640	AT4G27950
CARHR024940	AT1G26970
CARHR202130	AT5G11190
CARHR159590	AT3G50230
CARHR120670	AT2G27960
CARHR021130	AT1G20693
CARHR045050	AT1G55390
CARHR236660	AT4G28880
CARHR066680	AT1G73630
CARHR078860	AT3G04660
CARHR236840	AT4G29110
CARHR066930	AT1G73840
CARHR076990	AT3G02960
CARHR248790	AT4G00660
CARHR022720	AT1G22360
CARHR007610	AT1G07795
CARHR084250	AT3G09800
CARHR072470	AT1G78890
CARHR250900	AT4G02610
CARHR170790	AT3G60440
CARHR002880	AT1G03520
CARHR081530	AT3G06920
CARHR281450	AT5G66260
CARHR281770	AT5G65990
CARHR122290	AT2G29060
CARHR036440	AT1G45249
CARHR058720	AT1G66670
CARHR109630	AT2G19120
CARHR155920	AT3G47340
CARHR193240	AT5G19670
CARHR129200	AT2G35035
CARHR225070	AT4G18270
CARHR240220	AT4G32320
CARHR155290	AT3G46510
CARHR227640	AT4G21060
CARHR231120	AT4G23730
CARHR165170	AT3G55140
CARHR170190	AT3G59845
CARHR249840	AT4G01880
CARHR197480	AT5G15840
CARHR177510	AT5G45100
CARHR000020	AT4G19750
CARHR251500	AT4G03080
CARHR225220	AT4G18400
CARHR016760	AT1G16290
CARHR285250	AT5G59020
CARHR074840	AT1G80400
CARHR149960	AT3G45680
CARHR232160	AT4G24780
CARHR197900	AT5G15410
CARHR211870	AT5G01510
CARHR019260	AT1G18630
CARHR012070	AT1G11755
CARHR044180	AT1G53850
CARHR243080	AT4G34780
CARHR002080	AT1G02790
CARHR132560	AT2G38000
CARHR173780	AT5G47570
CARHR203440	AT5G09900
CARHR145200	AT2G02760
CARHR004870	AT1G05360
CARHR145750	AT2G03410
CARHR170420	AT3G60110
CARHR203110	AT5G10180
CARHR223560	AT4G17000
CARHR127580	AT2G33560
CARHR192220	AT5G20580
CARHR095580	AT3G20050
CARHR061480	AT1G68670
