AT1G06190	CARHR005720
AT5G24070	CARHR189520
AT4G16600	CARHR223100
AT1G76010	CARHR069540
AT4G31630	CARHR239500
AT5G11280	CARHR201980
AT3G02890	CARHR076920
AT1G02990	CARHR002320
AT1G78610	CARHR072100
AT1G50890	CARHR040930
AT5G46870	CARHR174580
AT1G52000	CARHR042160
AT3G55760	CARHR165870
AT5G46080	CARHR175850
AT3G55090	CARHR165110
AT2G21680	CARHR112670
AT3G19460	CARHR094890
AT1G63970	CARHR047010
AT5G57710	CARHR271460
AT5G01650	CARHR212010
AT1G73140	CARHR066110
AT3G27610	CARHR148990
AT4G23440	CARHR230770
AT5G60860	CARHR274540
AT5G48020	CARHR184290
AT4G33580	CARHR241680
AT1G22920	CARHR023300
AT5G19780	CARHR193130
AT4G14340	CARHR220540
AT1G24580	CARHR026510
AT1G66330	CARHR058210
AT5G65130	CARHR279040
AT1G08660	CARHR008590
AT1G72810	CARHR065720
AT3G18840	CARHR094280
AT1G05160	CARHR004620
AT3G25280	CARHR101690
AT3G58550	CARHR168940
AT1G15730	CARHR016210
AT5G37470	CARHR215610
AT1G60950	CARHR051980
AT5G37475	CARHR215550
AT5G03440	CARHR209900
AT4G00400	CARHR248510
AT1G02190	CARHR000130
AT4G20860	CARHR227430
AT2G41460	CARHR136580
AT3G61070	CARHR171380
AT1G14170	CARHR014570
AT5G36700	CARHR216390
AT5G46330	CARHR175480
AT3G23620	CARHR099550
AT5G46880	CARHR174540
AT4G00150	CARHR248190
AT5G62740	CARHR276530
AT1G63810	CARHR047390
AT3G16440	CARHR091650
AT2G46640	CARHR141980
AT4G32050	CARHR239950
AT3G25030	CARHR101310
AT1G68790	CARHR061610
AT3G03270	CARHR077290
AT3G10210	CARHR084700
AT1G68795	CARHR061620
AT5G21040	CARHR191830
AT3G25750	CARHR037360
AT1G13770	CARHR014160
AT2G20080	CARHR110580
AT5G12100	CARHR201020
AT2G23260	CARHR292850
AT2G39270	CARHR134020
AT3G49170	CARHR158050
AT4G11970	CARHR254320
AT5G36260	CARHR216480
AT4G09750	CARHR260740
AT2G21270	CARHR112140
AT4G36360	CARHR244700
AT5G60190	CARHR273870
AT3G46110	CARHR154450
AT2G17950	CARHR108430
AT1G09040	CARHR008940
AT5G10560	CARHR202740
AT4G17550	CARHR224250
AT1G33780	CARHR033180
AT3G08580	CARHR082880
AT4G33700	CARHR241790
AT4G39350	CARHR247360
AT5G60270	CARHR273950
AT5G14370	CARHR198950
AT1G51200	CARHR041240
AT4G15770	CARHR290260
AT1G27720	CARHR027220
AT2G35710	CARHR129950
AT5G10320	CARHR202980
AT3G59090	CARHR169510
AT4G19645	CARHR226450
AT5G23540	CARHR190000
AT5G63990	CARHR277910
AT1G01710	CARHR000630
AT5G39471	CARHR261500
AT3G49390	CARHR158360
AT5G67210	CARHR280420
AT1G67310	CARHR059790
AT4G22790	CARHR229790
AT1G69350	CARHR062230
AT5G45775	CARHR176200
AT5G45320	CARHR176770
AT1G32560	CARHR032010
AT5G60770	CARHR274450
AT3G05260	CARHR079600
AT1G64660	CARHR046230
AT2G25690	CARHR115560
AT5G60990	CARHR274700
AT5G16870	CARHR196290
AT4G26090	CARHR233600
AT4G29010	CARHR236740
AT5G42990	CARHR181030
AT2G40330	CARHR135420
AT4G17730	CARHR224450
AT4G25210	CARHR232610
AT1G35780	CARHR034580
AT3G03850	CARHR077940
AT5G63450	CARHR277300
AT5G35753	CARHR216800
AT4G03180	CARHR251610
AT5G53100	CARHR266120
AT1G31690	CARHR286930
AT1G13190	CARHR013560
AT1G79630	CARHR073360
AT4G36020	CARHR244420
AT1G13195	CARHR013570
AT4G35690	CARHR244040
AT4G31820	CARHR239740
AT4G02850	CARHR251220
AT3G22930	CARHR098870
AT4G27140	CARHR289420
AT2G46850	CARHR142200
AT4G27560	CARHR235250
AT1G12820	CARHR013140
AT1G16870	CARHR017340
AT1G16700	CARHR017160
AT1G69440	CARHR062360
AT1G49670	CARHR039720
AT1G77260	CARHR070730
AT5G44080	CARHR179200
AT3G15940	CARHR091080
AT3G21870	CARHR097830
AT3G57550	CARHR167780
AT1G11730	CARHR012040
AT3G05400	CARHR079740
AT1G31200	CARHR030680
AT4G03320	CARHR251750
AT4G09800	CARHR260800
AT2G25410	CARHR172040
AT3G24570	CARHR100800
AT3G47640	CARHR156320
AT1G13990	CARHR014360
AT3G11540	CARHR086090
AT1G17470	CARHR018070
AT4G24750	CARHR232120
AT4G19230	CARHR226140
AT1G48500	CARHR038130
AT3G18215	CARHR093550
AT3G18210	CARHR093540
AT2G23170	CARHR114350
AT1G06290	CARHR005870
AT1G71040	CARHR064330
AT1G28120	CARHR027590
AT3G59480	CARHR169860
AT2G17820	CARHR108230
AT5G16560	CARHR196660
AT2G26250	CARHR115080
AT5G53970	CARHR267100
AT3G51860	CARHR161490
AT4G02580	CARHR250870
AT1G76190	CARHR069750
AT1G80580	CARHR073930
AT1G49900	CARHR039970
AT1G44170	CARHR035840
AT5G63910	CARHR277830
AT2G25950	CARHR287330
AT5G13860	CARHR199570
AT1G11840	CARHR012160
AT4G28270	CARHR235980
AT5G06110	CARHR206810
AT4G38010	CARHR246410
AT5G45760	CARHR176220
AT3G47460	CARHR156100
AT3G47390	CARHR156030
AT4G22930	CARHR229970
AT2G46270	CARHR141540
AT3G28920	CARHR151960
AT2G47390	CARHR142780
AT4G16440	CARHR222790
AT3G54960	CARHR164940
AT4G20330	CARHR227160
AT5G16120	CARHR197180
AT1G45170	CARHR036260
AT2G16380	CARHR106620
AT5G56160	CARHR269530
AT1G23090	CARHR023470
AT5G28350	CARHR171820
AT5G21222	CARHR191690
AT5G02800	CARHR210530
AT4G39710	CARHR247010
AT3G01720	CARHR075200
AT3G62890	CARHR173150
AT4G26230	CARHR233780
AT4G29270	CARHR237020
AT4G26540	CARHR234120
AT1G52790	CARHR042950
AT4G38220	CARHR294000
AT5G22050	CARHR191480
AT1G34780	CARHR034050
AT1G30550	CARHR029960
AT1G30000	CARHR029390
AT4G28050	CARHR235750
AT2G18300	CARHR108890
AT4G12600	CARHR253570
AT3G58640	CARHR169030
AT5G61730	CARHR275490
AT2G05830	CARHR103410
AT3G53000	CARHR162890
AT1G10460	CARHR010600
AT1G21760	CARHR022150
AT5G51410	CARHR264130
AT4G02320	CARHR250510
AT1G68150	CARHR060830
AT2G26640	CARHR118530
AT1G06870	CARHR006550
AT3G20475	CARHR096230
AT5G50440	CARHR257860
AT1G12640	CARHR012930
ATMG00160	CARHR282690
AT1G23890	CARHR024290
AT5G16770	CARHR196390
AT5G65860	CARHR279850
AT4G37560	CARHR245960
AT5G28840	CARHR185350
AT3G56710	CARHR166850
AT2G47420	CARHR142810
AT3G13530	CARHR088200
AT5G53620	CARHR266800
AT1G30610	CARHR030050
AT1G23540	CARHR023960
AT1G07473	CARHR007230
AT5G07030	CARHR206120
AT5G57123	CARHR270900
AT3G58040	CARHR168360
AT3G19920	CARHR095450
AT3G06180	CARHR080700
AT5G52975	CARHR265940
AT4G18340	CARHR225110
AT5G26240	CARHR187130
AT3G12110	CARHR086670
AT5G59040	CARHR285580
AT1G10640	CARHR010810
AT5G08650	CARHR204330
AT5G16780	CARHR196380
AT2G35150	CARHR129290
AT5G19570	CARHR193330
AT2G35155	CARHR129300
AT5G54750	CARHR268090
AT1G71950	CARHR064760
AT3G62450	CARHR172790
AT5G62290	CARHR276070
AT5G02710	CARHR210660
AT3G18170	CARHR093500
AT1G04680	CARHR004060
AT2G45770	CARHR141050
AT2G30380	CARHR123730
AT2G34540	CARHR128630
AT1G15030	CARHR015570
AT2G20310	CARHR110800
AT4G29900	CARHR237800
AT5G49810	CARHR258960
AT4G29905	CARHR237810
AT3G17090	CARHR092340
AT5G66130	CARHR281620
AT4G17860	CARHR224580
AT1G46480	CARHR036610
AT5G15470	CARHR197850
AT4G38730	CARHR294430
AT4G33280	CARHR241360
AT2G17380	CARHR107540
AT4G21020	CARHR227600
AT2G32720	CARHR126610
AT2G38400	CARHR133020
AT3G48160	CARHR156880
AT5G65460	CARHR279440
AT5G20610	CARHR192190
AT2G35170	CARHR129330
AT4G24060	CARHR231460
AT4G39170	CARHR247580
AT5G02270	CARHR211100
AT5G35620	CARHR217790
AT5G19315	CARHR193650
AT3G25560	CARHR146480
AT5G19310	CARHR193660
AT3G29410	CARHR203560
AT3G49650	CARHR158690
AT1G63420	CARHR047930
AT5G45610	CARHR176410
AT4G04040	CARHR253400
AT3G61780	CARHR172110
AT1G34065	CARHR033460
AT4G31020	CARHR238940
AT2G34090	CARHR128190
AT4G25840	CARHR233300
AT2G22810	CARHR114120
AT1G09740	CARHR009710
AT2G25840	CARHR115390
AT1G69200	CARHR062080
AT2G12400	CARHR105020
AT2G18876	CARHR109440
AT5G11830	CARHR201330
AT3G44280	CARHR104590
AT1G32450	CARHR031900
ATCG00170	CARHR281920
AT1G04170	CARHR003510
AT1G20010	CARHR020480
AT4G14147	CARHR220180
AT1G69640	CARHR062580
AT3G55950	CARHR166030
AT3G53010	CARHR162900
AT4G11640	CARHR254790
AT1G27530	CARHR027130
AT2G14120	CARHR105190
AT2G22190	CARHR113360
AT1G01520	CARHR000850
AT1G08290	CARHR008140
AT2G45190	CARHR140410
AT3G11490	CARHR086040
AT5G23010	CARHR190510
AT5G48460	CARHR183620
AT4G15540	CARHR222340
AT5G37860	CARHR214880
AT2G47980	CARHR143360
AT4G19430	CARHR226220
AT5G44120	CARHR179150
AT1G48880	CARHR038880
AT1G70600	CARHR063830
AT3G27770	CARHR149200
AT4G00660	CARHR248790
AT3G10690	CARHR085270
AT1G15690	CARHR016180
AT2G31380	CARHR125010
AT2G44820	CARHR140030
AT2G28780	CARHR121900
AT2G41670	CARHR136750
AT3G61870	CARHR172210
AT5G49020	CARHR286220
AT3G02400	CARHR076370
AT3G05870	CARHR080330
AT4G29120	CARHR236850
AT4G20300	CARHR227120
AT1G61520	CARHR050920
AT3G54630	CARHR164540
AT1G14340	CARHR014770
AT1G05620	CARHR005120
AT1G14610	CARHR015110
AT1G61120	CARHR051570
AT1G14345	CARHR014780
AT5G14250	CARHR199090
AT4G40070	CARHR246550
AT3G16850	CARHR092110
AT3G01510	CARHR075440
AT1G04350	CARHR003680
AT3G16857	CARHR092120
AT1G73805	CARHR066870
AT3G25160	CARHR101480
AT2G45990	CARHR141260
AT2G47250	CARHR142650
AT1G79840	CARHR074650
AT1G13690	CARHR014090
AT3G07320	CARHR081970
AT1G13340	CARHR013720
AT4G01410	CARHR250270
AT1G08125	CARHR007930
AT4G01940	CARHR249740
AT5G56450	CARHR270070
AT3G18180	CARHR093510
AT3G11670	CARHR086220
AT4G38270	CARHR294040
AT4G10910	CARHR255700
AT5G09290	CARHR204120
AT3G22230	CARHR098120
AT5G50000	CARHR258690
AT4G33495	CARHR241580
AT5G11570	CARHR201650
AT5G39865	CARHR262320
AT5G39860	CARHR262370
AT5G55810	CARHR269130
AT4G32390	CARHR240310
AT5G41110	CARHR213260
AT4G09580	CARHR260450
AT1G50930	CARHR040970
AT2G36710	CARHR131010
AT1G44414	CARHR035920
AT3G55370	CARHR165380
AT1G18510	CARHR019130
AT3G02660	CARHR076660
AT1G18040	CARHR018630
AT4G00090	CARHR248130
AT4G36880	CARHR245630
AT4G36550	CARHR244860
AT5G10770	CARHR202530
AT4G10955	CARHR255650
AT5G14430	CARHR198880
AT2G21540	CARHR112480
AT1G48260	CARHR037880
AT3G07090	CARHR081680
AT5G17200	CARHR196010
AT4G14605	CARHR220830
AT3G54320	CARHR164240
AT2G01320	CARHR143840
AT4G30860	CARHR238730
AT2G33835	CARHR127950
AT3G20050	CARHR095580
AT2G33830	CARHR127940
AT3G08040	CARHR082780
AT2G33380	CARHR127380
AT5G41590	CARHR287640
AT3G58120	CARHR168470
AT4G24110	CARHR231510
AT4G14600	CARHR028280
AT2G23930	CARHR184600
AT2G26000	CARHR125340
AT5G16530	CARHR196700
AT2G18120	CARHR108610
AT5G24530	CARHR188900
AT2G18650	CARHR109240
AT5G24240	CARHR189300
AT1G77380	CARHR070860
AT2G41720	CARHR136820
AT1G26620	CARHR025350
AT4G00895	CARHR249440
AT4G00893	CARHR253850
AT4G32640	CARHR240610
AT2G27230	CARHR119730
AT4G36080	CARHR244480
AT3G12800	CARHR087330
AT2G02090	CARHR144730
AT1G55260	CARHR044910
AT1G22710	CARHR023080
AT3G63030	CARHR173320
AT2G40100	CARHR135070
AT3G61130	CARHR171410
AT2G47730	CARHR143110
AT4G37100	CARHR245430
AT4G36770	CARHR245130
AT1G72750	CARHR065670
AT3G07630	CARHR082330
AT1G66470	CARHR058510
AT5G66600	CARHR281140
AT2G19385	CARHR109830
AT2G19830	CARHR110280
AT5G35100	CARHR217170
AT2G19380	CARHR109820
AT1G70895	CARHR064170
AT4G27550	CARHR235230
AT1G29010	CARHR028190
AT5G59820	CARHR273400
AT1G05000	CARHR004420
AT3G06610	CARHR081150
AT2G03780	CARHR146190
AT5G20540	CARHR192280
AT3G04670	CARHR078900
AT1G62770	CARHR049070
AT2G43720	CARHR138910
AT3G04850	CARHR079110
AT5G66720	CARHR281000
AT1G02380	CARHR001700
AT4G02195	CARHR250410
AT2G03770	CARHR146180
AT1G80260	CARHR074230
AT2G44640	CARHR139850
AT4G11570	CARHR254840
AT4G33790	CARHR241880
AT5G52610	CARHR108840
AT3G16500	CARHR091710
AT1G55080	CARHR044670
AT1G63170	CARHR048330
AT4G29480	CARHR237310
AT3G62570	CARHR172820
AT5G57580	CARHR271350
AT1G09450	CARHR009420
AT2G21100	CARHR111940
AT5G14920	CARHR198420
AT3G05675	CARHR080120
AT3G05670	CARHR080110
AT4G29410	CARHR237230
AT5G56420	CARHR269990
AT2G05990	CARHR103610
AT1G09180	CARHR009120
AT3G42180	CARHR153630
AT5G64820	CARHR278830
AT1G17860	CARHR018480
AT1G13520	CARHR013840
AT5G01090	CARHR211410
AT3G11000	CARHR085590
AT1G17640	CARHR018250
AT3G03130	CARHR077150
AT1G16110	CARHR016610
AT1G67690	CARHR060280
AT5G56500	CARHR270140
AT3G10180	CARHR084660
AT4G02130	CARHR250310
AT1G31800	CARHR031100
AT3G20860	CARHR096730
AT1G12120	CARHR012480
AT3G12120	CARHR086680
AT3G20640	CARHR096440
AT1G67960	CARHR060610
AT1G23390	CARHR023830
AT3G48900	CARHR157710
AT1G59850	CARHR053240
AT1G55880	CARHR045580
AT2G33370	CARHR127370
AT2G02780	CARHR145220
AT1G29990	CARHR029400
AT2G32260	CARHR126050
AT5G07730	CARHR205420
AT4G14420	CARHR220630
AT4G33110	CARHR241140
AT1G03380	CARHR002760
AT1G73760	CARHR066830
AT1G09230	CARHR009190
AT3G51680	CARHR161280
AT1G09980	CARHR010100
AT5G25110	CARHR188380
AT2G35960	CARHR130220
AT5G05590	CARHR034480
AT5G06100	CARHR206800
AT5G01890	CARHR212240
AT3G13740	CARHR088470
AT5G49830	CARHR258890
AT5G59410	CARHR285780
AT3G22180	CARHR098070
AT1G58100	CARHR053950
AT1G75420	CARHR068810
AT5G61160	CARHR274860
AT1G54680	CARHR055820
AT5G62460	CARHR276250
AT4G18375	CARHR225160
AT5G02010	CARHR211350
AT3G26740	CARHR147760
AT5G21940	CARHR191590
AT4G18372	CARHR225150
AT1G76510	CARHR070060
AT3G60850	CARHR171240
AT5G66680	CARHR281040
AT5G44780	CARHR178100
AT5G64600	CARHR278560
AT1G29195	CARHR028500
AT1G66160	CARHR292310
AT3G17950	CARHR093280
AT1G29660	CARHR028970
AT1G53300	CARHR043530
AT3G05090	CARHR079410
AT1G11690	CARHR012000
AT2G25060	CARHR116650
AT1G78830	CARHR072410
AT5G15920	CARHR197390
AT1G03030	CARHR002370
AT5G13320	CARHR200120
AT4G33070	CARHR241090
AT5G13450	CARHR199980
AT4G17050	CARHR223610
AT4G21220	CARHR227820
AT1G13830	CARHR014220
AT1G27090	CARHR024810
AT3G53920	CARHR163800
AT1G65920	CARHR057820
AT4G20130	CARHR226960
AT1G30630	CARHR030110
AT1G54350	CARHR046020
AT2G35510	CARHR129680
AT3G10450	CARHR084950
AT2G03520	CARHR145870
AT3G59510	CARHR169890
AT1G71380	CARHR064650
AT5G20890	CARHR191960
AT4G19390	CARHR226180
AT4G13530	CARHR219160
AT4G13820	CARHR219700
AT3G52030	CARHR161660
AT4G37910	CARHR246320
AT1G50450	CARHR040460
AT5G21050	CARHR191820
AT3G13180	CARHR087770
AT3G61110	CARHR171400
AT4G27970	CARHR235670
AT3G57020	CARHR167170
AT1G78150	CARHR071610
AT5G44590	CARHR178360
AT3G01570	CARHR075360
AT1G69920	CARHR063010
AT3G21630	CARHR097600
AT1G11475	CARHR011740
AT4G32610	CARHR240580
AT3G57800	CARHR168130
AT1G79540	CARHR036700
AT2G42340	CARHR259440
AT1G74710	CARHR068010
AT1G20370	CARHR020830
AT1G64570	CARHR046380
AT3G23325	CARHR099290
AT1G30490	CARHR029900
AT3G10710	CARHR085290
AT5G43880	CARHR179550
AT2G45760	CARHR141040
AT5G63630	CARHR277510
AT3G14200	CARHR089080
AT1G10870	CARHR011090
AT4G40030	CARHR246640
AT3G55570	CARHR165640
AT3G10986	CARHR085580
AT3G10985	CARHR085570
AT1G06460	CARHR006070
AT3G10980	CARHR085560
AT3G14750	CARHR089690
AT1G70160	CARHR063240
AT3G13980	CARHR088800
AT5G44310	CARHR178870
AT3G02110	CARHR076070
AT5G09840	CARHR203550
AT4G26950	CARHR234550
AT5G44660	CARHR178240
AT4G01026	CARHR249310
AT1G07730	CARHR007540
AT2G27830	CARHR120530
AT5G03630	CARHR209670
AT2G21490	CARHR112410
AT4G38690	CARHR294410
AT5G61830	CARHR275590
AT5G05810	CARHR207450
AT2G39350	CARHR134140
AT3G12580	CARHR087080
AT4G28420	CARHR236190
AT5G48610	CARHR291990
AT1G79090	CARHR072760
AT4G24770	CARHR232150
AT5G39090	CARHR262410
AT2G38650	CARHR133320
AT3G28730	CARHR151710
AT2G24330	CARHR117760
AT2G26780	CARHR118960
AT2G29570	CARHR122910
AT5G19140	CARHR193810
AT4G39610	CARHR247120
AT5G45190	CARHR177350
AT5G65840	CARHR279840
AT5G01820	CARHR212170
AT5G15640	CARHR197680
AT5G18230	CARHR194830
AT2G31260	CARHR124850
AT5G18540	CARHR194480
AT2G28950	CARHR122120
AT2G17590	CARHR107780
AT3G44670	CARHR151520
AT1G80860	CARHR073610
AT1G20950	CARHR021410
AT5G53090	CARHR266110
AT3G44890	CARHR151120
AT1G18720	CARHR019360
AT2G39720	CARHR134560
AT4G34930	CARHR243200
AT3G55560	CARHR165620
AT1G47610	CARHR037260
AT1G52160	CARHR042320
AT2G24255	CARHR117860
AT4G09670	CARHR260610
AT5G42567	CARHR289730
AT3G53740	CARHR163640
AT4G18280	CARHR225080
AT4G08960	CARHR259970
AT3G24670	CARHR101010
AT4G35040	CARHR243320
AT2G14710	CARHR091790
AT2G45695	CARHR140920
AT1G01950	CARHR000400
AT1G08460	CARHR008340
AT5G56210	CARHR269610
AT2G45690	CARHR140910
AT3G09890	CARHR084400
AT1G08465	CARHR008350
AT3G52290	CARHR162050
AT3G02870	CARHR076880
AT1G02970	CARHR002300
AT1G59580	CARHR283810
AT3G02875	CARHR076890
AT2G41190	CARHR136280
AT2G32340	CARHR126160
AT4G14880	CARHR221460
AT3G57430	CARHR167630
AT3G55740	CARHR165850
AT3G58590	CARHR168980
AT5G46530	CARHR175050
AT1G61590	CARHR050790
AT3G19440	CARHR094870
AT1G63990	CARHR046990
AT3G62310	CARHR172650
AT5G22555	CARHR191000
AT1G73120	CARHR066090
AT5G22550	CARHR190990
AT5G04360	CARHR208930
AT4G18130	CARHR224870
AT1G22940	CARHR023320
AT5G42620	CARHR181510
AT5G10625	CARHR202680
AT1G68400	CARHR061190
AT1G33140	CARHR032490
AT5G60930	CARHR274610
AT3G27670	CARHR149120
AT2G23430	CARHR293050
AT1G72830	CARHR065750
AT2G37940	CARHR132490
AT2G35360	CARHR129520
AT5G52790	CARHR265720
AT5G40840	CARHR213690
AT1G09630	CARHR009600
AT5G16640	CARHR196550
AT1G60420	CARHR052630
AT1G19230	CARHR019830
AT1G08600	CARHR008510
AT2G19400	CARHR109850
AT5G65960	CARHR257450
AT4G25010	CARHR232400
AT1G15200	CARHR015720
AT2G26500	CARHR118500
AT1G15750	CARHR016240
AT1G19580	CARHR020130
AT1G18180	CARHR018750
AT1G14400	CARHR014840
AT1G09570	CARHR009540
ATCG00740	CARHR282230
AT3G23605	CARHR099530
AT3G16460	CARHR091670
AT4G11850	CARHR254450
AT1G14150	CARHR014540
AT2G37630	CARHR131950
AT5G42190	CARHR284690
AT5G07670	CARHR205500
AT5G10090	CARHR203200
AT5G43670	CARHR179940
AT5G20850	CARHR192000
AT4G23790	CARHR231180
AT5G27450	CARHR186060
AT4G30990	CARHR238880
AT4G00905	CARHR249420
AT1G13750	CARHR014130
AT2G15440	CARHR105790
AT2G39290	CARHR134040
AT3G42630	CARHR153640
AT1G19050	CARHR019660
AT5G20650	CARHR192160
AT2G44340	CARHR139500
AT2G28040	CARHR121140
AT3G43610	CARHR108980
AT5G11140	CARHR202160
AT4G35510	CARHR243840
AT2G23200	CARHR114300
AT4G11910	CARHR254370
AT4G15450	CARHR222210
AT5G60170	CARHR273830
AT2G22000	CARHR113080
AT3G46130	CARHR154470
AT2G31830	CARHR125520
AT5G25320	CARHR188140
AT1G22360	CARHR022720
AT2G47690	CARHR143080
AT1G47870	CARHR037470
AT2G35470	CARHR129620
AT4G23300	CARHR230640
AT2G36560	CARHR130850
AT3G08560	CARHR082860
AT2G17975	CARHR108450
AT2G17972	CARHR108460
AT1G03550	CARHR002910
AT4G13250	CARHR218740
AT2G45830	CARHR141100
AT4G11070	CARHR255530
AT2G38410	CARHR133030
AT1G27700	CARHR027200
AT1G17980	CARHR018590
AT3G52460	CARHR162230
AT3G07790	CARHR082500
AT3G59070	CARHR169490
AT5G61510	CARHR275280
AT1G01770	CARHR000550
AT3G58860	CARHR169280
AT5G67230	CARHR280400
AT5G09330	CARHR204060
AT2G04780	CARHR102750
AT4G22220	CARHR229120
AT4G24260	CARHR231680
AT4G19660	CARHR226480
AT5G17930	CARHR195170
AT1G32230	CARHR031600
AT3G04110	CARHR078240
AT1G67990	CARHR060630
AT1G56210	CARHR289750
AT5G39450	CARHR262900
AT2G41330	CARHR136430
AT3G16330	CARHR091540
AT2G44120	CARHR139290
AT3G58430	CARHR054890
AT4G16480	CARHR222880
AT5G16860	CARHR196300
AT4G17280	CARHR223910
AT3G50590	CARHR160100
AT1G63690	CARHR047650
AT3G05240	CARHR079580
AT2G40316	CARHR135400
AT5G05410	CARHR207830
